Season,Date,HomeTeam,AwayTeam,HomeEloBefore,AwayEloBefore,HomeRollingPoints5,AwayRollingPoints5,HomeRollingGoalsFor5,HomeRollingGoalsAgainst5,HomeRollingGoalDifference5,HomeRollingWinRate5,AwayRollingGoalsFor5,AwayRollingGoalsAgainst5,AwayRollingGoalDifference5,AwayRollingWinRate5,HomeVenueRollingPoints5,HomeVenueRollingGoalsFor5,HomeVenueRollingGoalsAgainst5,HomeVenueRollingGoalDifference5,HomeVenueRollingWinRate5,AwayVenueRollingPoints5,AwayVenueRollingGoalsFor5,AwayVenueRollingGoalsAgainst5,AwayVenueRollingGoalDifference5,AwayVenueRollingWinRate5,HomeRestDays,AwayRestDays,HomeShortRest3,AwayShortRest3,HomeMatchesLast7Days,HomeMatchesLast14Days,AwayMatchesLast7Days,AwayMatchesLast14Days,EloDifference,PointsFormDifference5,GoalsForFormDifference5,GoalsAgainstFormDifference5,GoalDifferenceFormDifference5,WinRateFormDifference5,VenuePointsFormDifference5,VenueGoalsForFormDifference5,VenueGoalsAgainstFormDifference5,VenueGoalDifferenceFormDifference5,VenueWinRateFormDifference5,RestDaysDifference,ShortRestDifference3,MatchesLast7DaysDifference,MatchesLast14DaysDifference,AwayMatchWeek,HomeMatchWeek,HomeSeasonProgress,AwaySeasonProgress,AverageSeasonProgress,SeasonProgressDifference,MatchesPlayedDifference,SecondHalfSeason,HomePointsBefore,AwayPointsBefore,HomeGoalDifferenceBefore,AwayGoalDifferenceBefore,HomeLeaguePosition,AwayLeaguePosition,PointsDifference,PositionDifference,GoalDifferenceDifference,HomeTop4Before,HomeTop6Before,HomeTopHalfBefore,HomeBottom3Before,AwayTop4Before,AwayTop6Before,AwayTopHalfBefore,AwayBottom3Before
2020-21,2021-04-05,Wolves,West Ham,1544.6786268143885,1564.6791919501582,5.0,7.0,3.0,6.0,-3.0,0.2,8.0,7.0,1.0,0.4,7.0,5.0,5.0,0.0,0.4,7.0,7.0,6.0,1.0,0.4,21.0,15.0,0.0,0.0,0,0,0,0,-20.000565135769648,-2.0,-5.0,-1.0,-4.0,-0.2,0.0,-2.0,-1.0,-1.0,0.0,6.0,0.0,0,0,30,30,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.0,0,1,35,49,-10,10,14,7,-14,-7,-20,0,0,0,0,0,0,1,0
2021-22,2021-12-04,Newcastle,Burnley,1454.127602240316,1472.825527219118,3.0,7.0,5.0,10.0,-5.0,0.0,9.0,7.0,2.0,0.2,3.0,7.0,11.0,-4.0,0.0,4.0,5.0,7.0,-2.0,0.0,4.0,3.0,0.0,1.0,2,3,1,2,-18.697924978801893,-4.0,-4.0,3.0,-7.0,-0.2,-1.0,2.0,4.0,-2.0,0.0,1.0,-1.0,1,1,14,15,0.3783783783783784,0.35135135135135137,0.3648648648648649,0.02702702702702703,1,0,7,10,-14,-6,20,18,-3,-2,-8,0,0,0,1,0,0,0,1
2021-22,2022-05-15,Everton,Brentford,1498.2684754498996,1504.969560199857,8.0,10.0,4.0,4.0,0.0,0.4,7.0,4.0,3.0,0.6,10.0,4.0,2.0,2.0,0.6,9.0,10.0,8.0,2.0,0.6,4.0,8.0,0.0,0.0,2,3,0,2,-6.701084749957317,-2.0,-3.0,0.0,-3.0,-0.19999999999999996,1.0,-6.0,-6.0,0.0,0.0,-4.0,0.0,2,1,37,36,0.9459459459459459,0.972972972972973,0.9594594594594594,-0.027027027027027084,-1,1,36,43,-19,-8,16,13,-7,-3,-11,0,0,0,0,0,0,0,0
2022-23,2023-02-03,Chelsea,Fulham,1624.1301793316727,1477.5395616792352,5.0,9.0,3.0,4.0,-1.0,0.2,5.0,4.0,1.0,0.6,7.0,4.0,3.0,1.0,0.4,9.0,8.0,5.0,3.0,0.6,13.0,11.0,0.0,0.0,0,1,0,1,146.59061765243746,-4.0,-2.0,0.0,-2.0,-0.39999999999999997,-2.0,-4.0,-2.0,-2.0,-0.19999999999999996,2.0,0.0,0,0,22,21,0.5405405405405406,0.5675675675675675,0.5540540540540541,-0.027027027027026973,-1,1,29,31,1,2,10,7,-2,-3,-1,0,0,1,0,0,0,1,0
2023-24,2023-09-16,Aston Villa,Crystal Palace,1589.1741191595675,1534.2050369785454,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,0.0,0,1,0,1,54.96908218102203,,,,,,,,,,,0.0,0.0,0,0,5,5,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.0,0,0,6,7,-1,1,10,7,-1,-3,-2,0,0,1,0,0,0,1,0
2023-24,2024-03-02,Everton,West Ham,1508.6716033298176,1543.6266931924963,4.0,4.0,4.0,6.0,-2.0,0.0,5.0,14.0,-9.0,0.2,6.0,6.0,6.0,0.0,0.2,4.0,4.0,12.0,-8.0,0.2,7.0,5.0,0.0,0.0,1,2,1,2,-34.95508986267873,0.0,-1.0,-8.0,7.0,-0.2,2.0,2.0,-6.0,8.0,0.0,2.0,0.0,0,0,27,27,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.0,0,1,31,39,-6,-6,13,8,-8,-5,0,0,0,0,0,0,0,1,0
2024-25,2024-11-04,Fulham,Brentford,1527.7563622137018,1523.7085084944329,7.0,7.0,8.0,8.0,0.0,0.4,12.0,12.0,0.0,0.4,,,,,,,,,,,9.0,9.0,0.0,0.0,0,1,0,1,4.047853719268915,0.0,-4.0,-4.0,0.0,0.0,,,,,,0.0,0.0,0,0,10,10,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.0,0,0,12,13,0,0,12,11,-1,-1,0,0,0,0,0,0,0,0,0
2024-25,2025-04-16,Newcastle,Crystal Palace,1648.0927773438095,1578.1843024564982,12.0,10.0,10.0,4.0,6.0,0.8,10.0,8.0,2.0,0.6,9.0,12.0,11.0,1.0,0.6,10.0,9.0,6.0,3.0,0.6,3.0,4.0,1.0,0.0,1,3,1,3,69.90847488731129,2.0,0.0,-4.0,4.0,0.20000000000000007,-1.0,3.0,5.0,-2.0,0.0,-1.0,1.0,0,0,32,32,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.0,0,1,56,43,16,1,4,12,13,8,15,1,1,1,0,0,0,0,0
2025-26,2025-12-15,Man United,Bournemouth,1578.908183195657,1559.6220624257303,8.0,2.0,9.0,6.0,3.0,0.4,4.0,10.0,-6.0,0.0,10.0,9.0,5.0,4.0,0.6,2.0,8.0,15.0,-7.0,0.0,7.0,9.0,0.0,0.0,1,2,0,2,19.28612076992681,6.0,5.0,-4.0,9.0,0.4,8.0,1.0,-10.0,11.0,0.6,-2.0,0.0,1,0,16,16,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0,0,25,20,4,-3,8,15,5,7,7,0,0,1,0,0,0,0,0
2025-26,2026-05-24,West Ham,Leeds,1503.3316631099174,1537.2342952870702,4.0,11.0,3.0,8.0,-5.0,0.2,10.0,4.0,6.0,0.6,8.0,7.0,3.0,4.0,0.4,7.0,6.0,5.0,1.0,0.2,7.0,7.0,0.0,0.0,1,2,1,2,-33.90263217715278,-7.0,-7.0,4.0,-11.0,-0.39999999999999997,1.0,1.0,-2.0,3.0,0.2,0.0,0.0,0,0,38,38,1.0,1.0,1.0,0.0,0,1,36,47,-22,-4,18,14,-11,-4,-18,0,0,0,1,0,0,0,0
