ExpectedReturnBand,Bets,WinningBets,AverageOdds,MedianOdds,MeanModelProbability,MeanMarketProbability,MeanProbabilityEdge,MeanModelExpectedReturn,TotalProfit,HitRate,ROI
75% to 99.99%,36,8,7.685277777777778,6.0649999999999995,0.3105841029214392,0.16317418293248365,0.1474099199889555,0.8569630792379247,5.83,0.2222222222222222,0.16194444444444445
50% to 59.99%,62,16,5.852258064516128,4.68,0.3463314948401092,0.21813743870142674,0.12819405613868248,0.5479915402557279,19.2,0.25806451612903225,0.3096774193548387
60% to 74.99%,58,9,6.924655172413793,5.55,0.3102391349513136,0.180866764459539,0.1293723704917746,0.6731625040145978,-14.079999999999998,0.15517241379310345,-0.24275862068965515
100% to 149.99%,19,2,10.096842105263159,9.75,0.2734174854224491,0.12087374748344037,0.15254373793900874,1.2213740252822074,-2.620000000000001,0.10526315789473684,-0.13789473684210532
150% and above,5,1,17.259999999999998,12.5,0.2503487394412872,0.07656162757278688,0.17378711186850038,2.091228824680301,3.2699999999999996,0.2,0.6539999999999999
