StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
3,Half Kelly,2021-08-14,100.0,1,0,4.0,0.04,-4.0,96.0,1.0,False,100.0,4.0,0.04
3,Half Kelly,2021-08-15,96.0,1,1,3.84,0.04,19.084799999999998,115.0848,1.0,False,115.0848,0.0,0.0
3,Half Kelly,2021-08-21,115.0848,2,0,9.206784,0.08,-9.206784,105.878016,1.0,False,115.0848,9.206783999999999,0.07999999999999999
3,Half Kelly,2021-08-28,105.878016,2,0,7.770426816425973,0.0733903704469299,-7.770426816425973,98.10758918357404,1.0,False,115.0848,16.977210816425966,0.14751914081117545
3,Half Kelly,2021-08-29,98.10758918357404,1,0,3.9243035673429616,0.04,-3.9243035673429616,94.18328561623107,1.0,False,115.0848,20.901514383768927,0.18161837517872845
3,Half Kelly,2021-09-11,94.18328561623107,2,0,4.6464612819136555,0.049334244940727655,-4.6464612819136555,89.53682433431742,1.0,False,115.0848,25.547975665682586,0.22199261471265175
3,Half Kelly,2021-09-18,89.53682433431742,4,2,12.43439375240495,0.1388746344853235,18.688606386203784,108.2254307205212,1.0,False,115.0848,6.859369279478798,0.05960273884543222
3,Half Kelly,2021-10-23,108.2254307205212,1,0,4.329017228820848,0.04,-4.329017228820848,103.89641349170036,1.0,False,115.0848,11.188386508299644,0.09721862929161491
3,Half Kelly,2021-11-06,103.89641349170036,1,0,4.155856539668014,0.04,-4.155856539668014,99.74055695203235,1.0,False,115.0848,15.344243047967652,0.13332988411995025
3,Half Kelly,2021-11-07,99.74055695203235,1,0,3.989622278081294,0.04,-3.989622278081294,95.75093467395105,1.0,False,115.0848,19.33386532604895,0.16799668875515228
3,Half Kelly,2021-11-20,95.75093467395105,1,1,3.830037386958042,0.04,21.371608619225874,117.12254329317693,1.0,False,117.12254329317693,0.0,0.0
3,Half Kelly,2021-11-21,117.12254329317693,1,0,4.684901731727077,0.04,-4.684901731727077,112.43764156144985,1.0,False,117.12254329317693,4.684901731727081,0.04000000000000003
3,Half Kelly,2021-11-28,112.43764156144985,1,0,3.915202442947383,0.03482110073260147,-3.915202442947383,108.52243911850246,1.0,False,117.12254329317693,8.60010417467447,0.0734282567032975
3,Half Kelly,2021-12-01,108.52243911850246,2,0,8.681795129480196,0.08,-8.681795129480196,99.84064398902227,1.0,False,117.12254329317693,17.281899304154663,0.14755399616703366
3,Half Kelly,2021-12-02,99.84064398902227,1,0,3.993625759560891,0.04,-3.993625759560891,95.84701822946138,1.0,False,117.12254329317693,21.27552506371555,0.18165183632035226
3,Half Kelly,2021-12-04,95.84701822946138,1,1,3.8338807291784556,0.04,15.028812458379546,110.87583068784093,1.0,False,117.12254329317693,6.2467126053360005,0.05333484425538348
3,Half Kelly,2021-12-05,110.87583068784093,1,0,4.435033227513637,0.04,-4.435033227513637,106.44079746032729,1.0,False,117.12254329317693,10.681745832849643,0.09120145048516819
3,Half Kelly,2021-12-11,106.44079746032729,1,0,2.0392739893173912,0.019158762786209593,-2.0392739893173912,104.4015234710099,1.0,False,117.12254329317693,12.721019822167037,0.10861290631577422
3,Half Kelly,2021-12-14,104.4015234710099,1,0,1.7265427310610435,0.016537524297147523,-1.7265427310610435,102.67498073994885,1.0,False,117.12254329317693,14.447562553228082,0.12335424203574083
