Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2024-25,2024-08-17,Ipswich,Liverpool,A,0.2106605398903122,0.11888847449330427,8.14,H,0,0.09177206539700793,0.09177206539700793,0.12285012285012284,0.08781041704018935,0.7147767947071413,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-08-17,Nott'm Forest,Bournemouth,D,0.4502747651603423,0.2884070659731163,3.37,A,0,0.161867699187226,0.161867699187226,0.29673590504451036,0.15353886011583195,0.5174259585903536,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-08-17,West Ham,Aston Villa,A,0.5319889687401794,0.34004363347877836,2.86,A,1,0.19194533526140106,0.19194533526140106,0.3496503496503497,0.18233861908982973,0.5214884505969131,True,1.8599999999999999,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-09-21,Tottenham,Brentford,H,0.2674255567834778,0.15549613319764163,6.23,A,0,0.11192942358583616,0.11192942358583616,0.16051364365971107,0.10691191312376672,0.6660612187610668,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-10-19,Southampton,Leicester,A,0.4615096021594852,0.28543425869376793,3.41,A,1,0.1760753434657173,0.1760753434657173,0.29325513196480935,0.16825447019467588,0.5737477433638447,True,2.41,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-10,Man United,Leicester,H,0.1962420278151508,0.10865097788744235,8.93,A,0,0.08759104992770844,0.08759104992770844,0.11198208286674133,0.08425994494840947,0.7524413083892965,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-10,Tottenham,Ipswich,A,0.143267942784956,0.09052537045352492,10.66,A,1,0.05274257233143108,0.05274257233143108,0.09380863039399624,0.049459312390959756,0.527236270087631,True,9.66,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-23,Leicester,Chelsea,A,0.2301190662017483,0.13862463912158643,7.0,H,0,0.09149442708016187,0.09149442708016187,0.14285714285714285,0.08726192334460545,0.6108334634122381,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-24,Ipswich,Man United,D,0.3277845194151907,0.18855625822883165,5.15,H,0,0.13922826118635906,0.13922826118635906,0.1941747572815534,0.13360976213363732,0.6880902749882323,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-30,Brentford,Leicester,H,0.2923509349876417,0.18068288714311143,5.38,A,0,0.11166804784453027,0.11166804784453027,0.1858736059479554,0.10647732903968629,0.5728480302335124,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-11-30,West Ham,Arsenal,A,0.2082103395023374,0.13222106399682246,7.34,H,0,0.07598927550551493,0.07598927550551493,0.1362397820163488,0.0719705574859886,0.5282638919471565,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-12-03,Ipswich,Crystal Palace,A,0.4607064269887924,0.2902991604147663,3.35,H,0,0.1704072665740261,0.1704072665740261,0.29850746268656714,0.16219896430222525,0.5433665304124544,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-12-05,Bournemouth,Tottenham,H,0.5009965328729618,0.3169174086582745,3.06,A,0,0.18407912421468725,0.18407912421468725,0.32679738562091504,0.17419914725204672,0.533049390591263,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-12-14,Newcastle,Leicester,H,0.173294879204292,0.10136505085054899,9.49,A,0,0.07192982835374302,0.07192982835374302,0.1053740779768177,0.0679208012274743,0.6445684036487311,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-12-29,Leicester,Man City,A,0.1508720959250994,0.09374320932580177,10.25,H,0,0.05712888659929763,0.05712888659929763,0.0975609756097561,0.0533111203153433,0.5464389832322689,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2024-12-30,Ipswich,Chelsea,H,0.2296073440825248,0.12783177117559577,7.55,H,1,0.10177557290692904,0.10177557290692904,0.13245033112582782,0.09715701295669699,0.7335354478230622,True,6.55,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-01-04,Tottenham,Newcastle,A,0.4751743467562711,0.2493561964053928,3.9,H,0,0.22581815035087832,0.22581815035087832,0.25641025641025644,0.21876409034601468,0.8531799523494574,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-01-18,Leicester,Fulham,A,0.3622231776728645,0.20850823254781928,4.65,H,0,0.15371494512504522,0.15371494512504522,0.2150537634408602,0.1471694142320043,0.6843377761788201,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-01-19,Ipswich,Man City,A,0.2129864688143601,0.11428788108600031,8.5,H,0,0.09869858772835978,0.09869858772835978,0.11764705882352941,0.09533940999083068,0.8103849849220608,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-02-15,Man City,Newcastle,H,0.7332236884415598,0.46538211568604965,2.09,H,1,0.2678415727555102,0.2678415727555102,0.47846889952153115,0.2547547889200287,0.5324375088428599,True,1.0899999999999999,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-02-22,Aston Villa,Chelsea,H,0.5877810999472824,0.36314736574385137,2.68,H,1,0.22463373420343108,0.22463373420343108,0.3731343283582089,0.21464677158907353,0.575253347858717,True,1.6800000000000002,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-02-23,Man City,Liverpool,A,0.496898819403884,0.30273008187059985,3.24,H,0,0.19416873753328412,0.19416873753328412,0.30864197530864196,0.18825684409524202,0.6099521748685841,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-04-12,Brighton,Leicester,D,0.1400010163147962,0.08841855712618668,10.93,A,0,0.051582459188609514,0.051582459188609514,0.09149130832570906,0.04850970798908713,0.5302111083207224,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-04-13,Chelsea,Ipswich,D,0.1532613181899071,0.07030444170048179,13.76,A,0,0.0829568764894253,0.0829568764894253,0.07267441860465117,0.08058689958525593,1.1088757382931216,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-04-26,Chelsea,Everton,H,0.2346280695357707,0.12947523295733204,7.5,A,0,0.10515283657843866,0.10515283657843866,0.13333333333333333,0.10129473620243737,0.7597105215182802,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-04-26,Newcastle,Ipswich,H,0.0894470663712287,0.05550594407545905,17.5,A,0,0.033941122295769656,0.033941122295769656,0.05714285714285714,0.032304209228371565,0.5653236614965023,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-04-27,Liverpool,Tottenham,H,0.1242679661686246,0.07048262869174933,13.75,A,0,0.053785337476875264,0.053785337476875264,0.07272727272727272,0.05154069344135187,0.7086845348185882,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-04,West Ham,Tottenham,D,0.392041897402164,0.22991489294759865,4.22,A,0,0.16212700445456535,0.16212700445456535,0.23696682464454977,0.15507507275761423,0.6544168070371319,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-10,Fulham,Everton,A,0.3314248552423252,0.1957600799851355,4.94,A,1,0.13566477525718967,0.13566477525718967,0.20242914979757085,0.12899570544475433,0.6372387848970864,True,3.9400000000000004,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-10,Ipswich,Brentford,A,0.2580485143669941,0.16556094662837906,5.83,H,0,0.09248756773861505,0.09248756773861505,0.17152658662092624,0.08652192774606787,0.5044228387595757,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-16,Aston Villa,Tottenham,H,0.2162648766589268,0.08848314606741574,11.0,A,0,0.12778173059151104,0.12778173059151104,0.09090909090909091,0.12535578574983589,1.378913643248195,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-19,Brighton,Liverpool,H,0.5141076550373556,0.31456615457389514,3.09,A,0,0.19954150046346042,0.19954150046346042,0.3236245954692557,0.19048305956809986,0.5885926540654287,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-25,Bournemouth,Leicester,H,0.1719510729698651,0.10737740944827363,9.01,A,0,0.06457366352159145,0.06457366352159145,0.11098779134295228,0.06096328162691281,0.5492791674584845,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-25,Man United,Aston Villa,H,0.4123592089455571,0.20112539928662615,4.82,H,1,0.21123380965893096,0.21123380965893096,0.20746887966804978,0.20489032927750733,0.9875713871175853,True,3.8200000000000003,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-25,Newcastle,Everton,A,0.2224232481897849,0.092872782854544,10.36,A,1,0.1295504653352409,0.1295504653352409,0.09652509652509653,0.12589815166468837,1.3043048512461715,True,9.36,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-25,Nott'm Forest,Chelsea,A,0.4426091824806774,0.27814755788881595,3.5,H,0,0.16446162459186142,0.16446162459186142,0.2857142857142857,0.15689489676639168,0.5491321386823709,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
2024-25,2025-05-25,Tottenham,Brighton,A,0.4464454957400025,0.2539268891740991,3.83,H,0,0.19251860656590336,0.19251860656590336,0.2610966057441253,0.18534888999587718,0.7098862486842095,True,-1.0,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265
