BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
1,179,-16.509999999999998,-0.09223463687150837
2,168,31.11,0.18517857142857141
3,189,23.839999999999996,0.12613756613756613
4,186,17.189999999999998,0.09241935483870967
5,171,29.810000000000002,0.17432748538011697
6,187,-4.510000000000002,-0.02411764705882354
7,177,18.40000000000001,0.10395480225988706
8,178,-34.78,-0.1953932584269663
9,192,-24.1,-0.12552083333333333
10,184,-31.64,-0.17195652173913042
11,181,-9.17,-0.050662983425414365
12,194,57.03999999999999,0.294020618556701
13,188,17.5,0.09308510638297872
14,181,-4.060000000000006,-0.02243093922651937
15,182,19.78000000000001,0.10868131868131872
16,173,27.29,0.15774566473988438
17,180,84.87,0.47150000000000003
18,177,53.58,0.30271186440677966
19,182,16.580000000000005,0.09109890109890113
20,185,-19.009999999999994,-0.10275675675675673
21,181,-21.49,-0.11872928176795579
22,183,4.940000000000001,0.02699453551912569
23,191,43.86,0.22963350785340314
24,187,-10.220000000000002,-0.05465240641711231
25,176,-0.9999999999999929,-0.005681818181818141
26,179,50.83,0.28396648044692735
27,188,13.329999999999997,0.07090425531914891
28,183,30.75,0.1680327868852459
29,197,42.169999999999995,0.21406091370558372
30,179,-10.0,-0.055865921787709494
31,186,60.629999999999995,0.32596774193548383
32,177,-18.470000000000002,-0.10435028248587572
33,187,9.03,0.048288770053475934
34,194,12.229999999999997,0.06304123711340205
35,184,61.28,0.33304347826086955
36,181,2.399999999999995,0.013259668508287265
37,168,24.319999999999997,0.14476190476190473
38,183,-33.57000000000001,-0.1834426229508197
39,180,11.759999999999998,0.06533333333333333
40,172,43.8,0.25465116279069766
41,178,4.969999999999995,0.027921348314606714
42,192,-5.859999999999996,-0.030520833333333313
43,179,33.09,0.18486033519553075
44,178,10.33,0.05803370786516854
45,194,37.849999999999994,0.19510309278350513
46,186,37.55,0.20188172043010752
47,175,28.480000000000004,0.16274285714285716
48,182,16.270000000000003,0.08939560439560441
49,195,-24.17,-0.12394871794871795
50,179,10.870000000000001,0.06072625698324023
51,174,45.17,0.2595977011494253
52,173,7.269999999999999,0.04202312138728323
53,178,-31.4,-0.17640449438202246
54,169,12.269999999999996,0.07260355029585797
55,174,27.67,0.15902298850574714
56,169,21.52,0.12733727810650888
57,194,-2.7200000000000006,-0.014020618556701035
58,172,-6.059999999999997,-0.03523255813953487
59,182,-3.0500000000000043,-0.016758241758241782
60,177,37.68,0.2128813559322034
61,183,69.57,0.3801639344262295
62,184,19.179999999999996,0.10423913043478258
63,175,-14.120000000000003,-0.0806857142857143
64,182,9.41,0.0517032967032967
65,184,-55.809999999999995,-0.30331521739130435
66,179,8.669999999999996,0.048435754189944114
67,179,-44.88000000000001,-0.2507262569832403
68,193,4.560000000000006,0.023626943005181377
