Outcome,FixtureOutcomeObservations,MeanModelProbability,MeanMarketProbability,MeanProbabilityEdge,MedianProbabilityEdge,MeanAbsoluteProbabilityEdge,MeanModelExpectedReturn,PositiveExpectedReturnCandidates,MeanRealisedUnitReturn,PositiveExpectedReturnPercentage
H,1900,0.45628281643758595,0.4368068474913576,0.019475968946228404,0.01652256353438772,0.06981206805518402,0.05899316883996072,1005,-0.06483684210526315,52.89473684210526
D,1900,0.22223728926213698,0.23808051506625794,-0.01584322580412096,-0.016453509692617385,0.028615658877628913,-0.07940794199782066,443,-0.06377368421052632,23.31578947368421
A,1900,0.32147989430027696,0.32511263744238444,-0.0036327431421075236,-0.003914407832542384,0.06315739140566749,-0.0076799583755123935,832,0.016236842105263154,43.78947368421053
