Season,Date,HomeTeam,AwayTeam,Outcome,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability
2015-16,2015-09-26,Liverpool,Aston Villa,H,1.53,1.5,0.6401958118031003,0.652775144653325
2015-16,2015-09-26,Man United,Sunderland,H,1.23,1.22,0.7987771908663645,0.8018160613128956
2015-16,2015-09-26,Newcastle,Chelsea,H,5.98,5.8,0.16376766091051806,0.16874200384791932
2015-16,2015-09-26,Southampton,Swansea,H,2.04,1.85,0.4802093522785716,0.5305395585728403
2015-16,2015-09-26,Stoke,Bournemouth,H,2.47,2.43,0.3966581747340027,0.40320206315428564
2015-16,2015-09-26,Tottenham,Man City,H,4.03,3.49,0.24324412129718068,0.2809521929368016
2015-16,2015-09-26,West Ham,Norwich,H,2.22,2.25,0.4418479893566799,0.4353745186310137
2015-16,2015-09-27,Watford,Crystal Palace,H,2.49,2.61,0.3938328374357587,0.3755199544980567
2015-16,2015-09-28,West Brom,Everton,H,3.06,3.02,0.320330235027049,0.3243464237854044
2015-16,2015-10-03,Aston Villa,Stoke,H,2.5,2.71,0.39179402845460987,0.36164826718570153
2015-16,2015-10-03,Bournemouth,Watford,H,2.13,2.21,0.45992330420569566,0.4433090475748731
2015-16,2015-10-03,Chelsea,Southampton,H,1.83,1.79,0.5362501620678681,0.5479369402759939
2015-16,2015-10-03,Crystal Palace,West Brom,H,1.84,1.83,0.5326700550889979,0.5351178435338948
2015-16,2015-10-03,Man City,Newcastle,H,1.24,1.22,0.7876712328767124,0.8004622382372921
2015-16,2015-10-03,Norwich,Leicester,H,2.26,2.33,0.4337700408307671,0.4210649759958954
2015-16,2015-10-03,Sunderland,West Ham,H,3.13,3.03,0.313215489783374,0.32359780485536227
2015-16,2015-10-04,Arsenal,Man United,H,2.06,2.01,0.4757395845737713,0.48756785939233976
2015-16,2015-10-04,Everton,Liverpool,H,2.75,3.16,0.3566214807090719,0.3101362024260126
2015-16,2015-10-04,Swansea,Tottenham,H,2.72,2.68,0.3604170795286514,0.36561200451457004
2015-16,2015-10-17,Chelsea,Aston Villa,H,1.34,1.33,0.7301894247074211,0.7360937985465286
2015-16,2015-10-17,Crystal Palace,West Ham,H,2.01,1.96,0.4874616759709586,0.4999284962102991
2015-16,2015-10-17,Everton,Man United,H,3.23,3.29,0.30341340075853346,0.2978477994952853
2015-16,2015-10-17,Man City,Bournemouth,H,1.34,1.34,0.7317652531510889,0.7290388649471601
2015-16,2015-10-17,Southampton,Leicester,H,1.76,1.73,0.5559551369939988,0.5668052979129597
2015-16,2015-10-17,Tottenham,Liverpool,H,2.48,2.28,0.3952574778744538,0.42986741102581993
2015-16,2015-10-17,Watford,Arsenal,H,6.29,6.75,0.15587561613050707,0.14495802265086488
2015-16,2015-10-17,West Brom,Sunderland,H,2.08,2.15,0.47186646145918787,0.4562744927283811
2015-16,2015-10-18,Newcastle,Norwich,H,2.58,2.48,0.3801492053194939,0.3952574778744538
2015-16,2015-10-19,Swansea,Stoke,H,2.08,1.88,0.4711900402284376,0.5206739829287219
2015-16,2015-10-24,Arsenal,Everton,H,1.43,1.39,0.6866049767052408,0.7041169099775058
2015-16,2015-10-24,Aston Villa,Swansea,H,3.09,3.01,0.31719070312292,0.32566495086926545
2015-16,2015-10-24,Leicester,Crystal Palace,H,2.21,2.17,0.44329306692620374,0.45167355218563693
2015-16,2015-10-24,Norwich,West Brom,H,2.02,1.98,0.4849542577522472,0.4948714244438024
2015-16,2015-10-24,Stoke,Watford,H,2.1,2.1,0.46676764076977906,0.46694824603341123
2015-16,2015-10-24,West Ham,Chelsea,H,3.91,4.21,0.2505808352694509,0.23283634882185933
2015-16,2015-10-25,Bournemouth,Tottenham,H,3.58,3.52,0.273810207657179,0.2784313725490196
2015-16,2015-10-25,Liverpool,Southampton,H,2.08,2.09,0.471311867978489,0.4690168262545877
2015-16,2015-10-25,Man United,Man City,H,2.59,2.63,0.37828781723389837,0.37262070985881196
2015-16,2015-10-25,Sunderland,Newcastle,H,2.57,2.63,0.38140150012280605,0.37287184639005255
2015-16,2015-10-31,Chelsea,Liverpool,H,2.07,2.12,0.47330400081858187,0.46231351051280273
2015-16,2015-10-31,Crystal Palace,Man United,H,4.02,4.46,0.24422755840312754,0.21969436703948286
2015-16,2015-10-31,Man City,Norwich,H,1.3,1.27,0.753656971864715,0.7726087115559752
2015-16,2015-10-31,Newcastle,Stoke,H,2.39,2.37,0.4107708514295219,0.4133119879042569
2015-16,2015-10-31,Swansea,Arsenal,H,5.05,4.73,0.19401256055178911,0.20738243205371565
2015-16,2015-10-31,Watford,West Ham,H,2.6,2.5,0.3768487477815027,0.3920544238141772
2015-16,2015-10-31,West Brom,Leicester,H,2.84,2.97,0.3451739567162816,0.3300481424289218
2015-16,2015-11-01,Everton,Sunderland,H,1.49,1.48,0.6570832913648899,0.6612764041571305
2015-16,2015-11-01,Southampton,Bournemouth,H,1.55,1.53,0.6329186937273567,0.6414984859199624
2015-16,2015-11-02,Tottenham,Aston Villa,H,1.43,1.4,0.6864334064257794,0.7016245444649534
2015-16,2015-11-07,Bournemouth,Newcastle,H,2.18,2.22,0.4498417844729335,0.44126715521073834
2015-16,2015-11-07,Leicester,Watford,H,1.88,1.93,0.5207190331014506,0.508927583689183
2015-16,2015-11-07,Man United,West Brom,H,1.34,1.36,0.7318279358432289,0.720129171151776
2015-16,2015-11-07,Norwich,Swansea,H,2.46,2.54,0.3979536766359344,0.38609694117647053
2015-16,2015-11-07,Stoke,Chelsea,H,3.96,4.53,0.24744827586206894,0.21636051373954598
2015-16,2015-11-07,Sunderland,Southampton,H,4.79,4.7,0.2045372088290037,0.20830302853984234
2015-16,2015-11-07,West Ham,Everton,H,2.58,2.45,0.3799408584935867,0.39970433921303583
2015-16,2015-11-08,Arsenal,Tottenham,H,1.7,1.8,0.5770359928777344,0.5446915652538816
2015-16,2015-11-08,Aston Villa,Man City,H,8.15,8.55,0.12029545181115892,0.11475527888685297
2015-16,2015-11-08,Liverpool,Crystal Palace,H,1.68,1.64,0.5833467288217329,0.5986993365302503
2015-16,2015-11-21,Chelsea,Norwich,H,1.43,1.41,0.6862905301080803,0.6943566676213864
2015-16,2015-11-21,Everton,Aston Villa,H,1.57,1.72,0.6231725943704998,0.5705011587873592
2015-16,2015-11-21,Man City,Liverpool,H,1.67,1.89,0.5872785997347905,0.5181509532515017
2015-16,2015-11-21,Newcastle,Leicester,H,2.85,2.94,0.34394186897989065,0.333385629118293
2015-16,2015-11-21,Southampton,Stoke,H,1.61,1.68,0.6081822288184809,0.5830750857885747
2015-16,2015-11-21,Swansea,Bournemouth,H,1.91,2.24,0.5135445269910968,0.4376009409767309
2015-16,2015-11-21,Watford,Man United,H,4.14,4.02,0.23669467787114845,0.24368640052733492
2015-16,2015-11-21,West Brom,Arsenal,H,6.68,6.11,0.14680220836484667,0.1600942611070069
2015-16,2015-11-22,Tottenham,West Ham,H,1.55,1.58,0.633512546692849,0.6207007335748835
2015-16,2015-11-23,Crystal Palace,Sunderland,H,1.56,1.55,0.6279918645818761,0.6338064077504886
2015-16,2015-11-28,Aston Villa,Watford,H,2.77,2.76,0.35407786846078865,0.3551303230543319
