StrategyNumber,Strategy,ObservedBets,ObservedProfit,ObservedROI,BootstrapMeanROI,BootstrapMedianROI,Bootstrap95LowerROI,Bootstrap95UpperROI,BootstrapProbabilityPositiveROI,BootstrapProbabilityROIAboveOverround,BootstrapMeanProfit,BootstrapCIExcludesZero
1,Highest-return candidate: all fixtures,1900,-76.84,-0.0404421052631579,-0.041094093093537086,-0.041056684154510234,-0.11594327105440864,0.03387365802082102,0.1407,0.0371,-78.098386,False
2,Expected return >= 0%,1833,-67.35,-0.0367430441898527,-0.03641949698289614,-0.03668938647822252,-0.11187685362859055,0.04145650321429239,0.1739,0.0538,-66.78138,False
3,Expected return >= 5%,1520,-66.57,-0.043796052631578944,-0.04382996954699439,-0.044055320718435806,-0.1316587244521367,0.04419871558010777,0.1578,0.0561,-66.562534,False
4,Expected return >= 10%,1204,-10.320000000000004,-0.008571428571428575,-0.008844792822251368,-0.009513981523675375,-0.11390813717133302,0.10123102359432444,0.4315,0.2554,-10.618529999999993,False
5,Expected return >= 20%,798,-50.769999999999996,-0.06362155388471177,-0.06423866547734466,-0.06594844508331014,-0.19665101463355766,0.07283075212418501,0.1725,0.0964,-51.356702999999996,False
6,Expected return >= 30%,545,-29.0,-0.05321100917431193,-0.05334163944778869,-0.05444019107206962,-0.22214875185819746,0.12626348978919621,0.2697,0.1859,-29.144849999999995,False
7,Expected return >= 50%,264,22.120000000000005,0.0837878787878788,0.0816863783980658,0.07990551259594708,-0.18844418016194328,0.3618032935529036,0.7132,0.6443,21.633244,False
