StrategyNumber,Strategy,MinimumExpectedReturn,Bets,WinningBets,HitRate,AverageOdds,MedianOdds,MeanModelExpectedReturn,MeanProbabilityEdge,TotalStaked,TotalProfit,ROI,MaximumDrawdownUnits,ProfitableSeasons,LosingSeasons,BestSeasonROI,WorstSeasonROI
1,Highest-return candidate: all fixtures,,1900,666,0.3505263157894737,4.025484210526316,3.09,0.24565496874411075,0.0743025618321326,1900.0,-76.84,-0.0404421052631579,107.56999999999996,1,4,0.01473684210526318,-0.07802631578947368
2,Expected return >= 0%,0.0,1833,636,0.3469721767594108,4.071232951445718,3.12,0.25503258275504814,0.07668685176008756,1833.0,-67.35,-0.0367430441898527,99.46999999999994,1,4,0.007920000000000009,-0.08064066852367686
3,Expected return >= 5%,0.05,1520,484,0.31842105263157894,4.310559210526315,3.285,0.30226182699143556,0.08743272156529798,1520.0,-66.57,-0.043796052631578944,93.66999999999993,0,5,-0.010892857142857123,-0.06952229299363055
4,Expected return >= 10%,0.1,1204,357,0.29651162790697677,4.6665448504983384,3.58,0.36232902331500305,0.09888098188456058,1204.0,-10.320000000000004,-0.008571428571428575,44.43999999999999,3,2,0.008304347826086958,-0.04571428571428571
5,Expected return >= 20%,0.2,798,193,0.24185463659147868,5.2552130325814534,3.955,0.47386600833894027,0.11652010253027928,798.0,-50.769999999999996,-0.06362155388471177,79.65000000000003,2,3,0.020220588235294115,-0.22156626506024096
6,Expected return >= 30%,0.3,545,117,0.21467889908256882,5.850366972477064,4.64,0.579142727684058,0.12796575282762873,545.0,-29.0,-0.05321100917431193,64.99000000000001,2,3,0.08444444444444446,-0.21287356321839077
7,Expected return >= 50%,0.5,264,55,0.20833333333333334,7.0236363636363635,5.49,0.7866925058154616,0.14710522610218982,264.0,22.120000000000005,0.0837878787878788,26.379999999999995,4,1,0.33432432432432435,-0.33428571428571424
