Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder,OddsCLV,ProbabilityCLV,BeatClosingPrice,PositiveProbabilityCLV,EarlierPriceUnitReturn,ClosingPriceUnitReturn,ProfitAdvantageFromEarlierPrice
2020-21,2020-09-14,Brighton,Chelsea,A,0.2831729628918444,0.16058507991184356,6.07,H,0,0.12258788298000084,0.12258788298000084,0.16474464579901152,0.11842831709283289,0.7188598847534957,True,-1.0,5.36,6.07,0.18236501525438403,0.16058507991184356,0.5178070811002862,0.7188598847534957,0,-0.11696869851729819,-0.02177993534254047,False,False,-1.0,-1.0,0.0
2020-21,2020-09-19,Man United,Crystal Palace,A,0.163636409489315,0.10458032689032844,9.33,A,1,0.05905608259898655,0.05905608259898655,0.10718113612004287,0.05645527336927211,0.5267277005353088,True,8.33,9.8,9.33,0.09798994974874373,0.10458032689032844,0.6036368129952869,0.5267277005353088,2,0.05037513397642024,0.006590377141584711,True,True,8.8,8.33,0.47000000000000064
2020-21,2020-09-20,Leicester,Burnley,H,0.265406028375737,0.14504822778452678,6.74,A,0,0.12035780059121023,0.12035780059121023,0.14836795252225518,0.11703807585348183,0.7888366312524675,True,-1.0,5.79,6.74,0.16795193888574259,0.14504822778452678,0.5367009042955173,0.7888366312524675,2,-0.14094955489614247,-0.022903711101215807,False,False,-1.0,-1.0,0.0
2020-21,2020-09-21,Wolves,Man City,A,0.2800577178217418,0.14595104565228784,6.7,H,0,0.134106672169454,0.134106672169454,0.14925373134328357,0.13080398647845826,0.8763867094056703,True,-1.0,6.27,6.7,0.15478414386303452,0.14595104565228784,0.7559618907423211,0.8763867094056703,0,-0.06417910447761199,-0.008833098210746682,False,False,-1.0,-1.0,0.0
2020-21,2020-09-27,Man City,Leicester,A,0.1652419992348295,0.0977174174897615,9.96,A,1,0.067524581745068,0.067524581745068,0.1004016064257028,0.06484039280912669,0.6458103123789019,True,8.96,10.09,9.96,0.09678351091319454,0.0977174174897615,0.6672917722794296,0.6458103123789019,2,0.013052208835341306,0.0009339065765669591,True,True,9.09,8.96,0.129999999999999
2020-21,2020-09-27,Tottenham,Newcastle,D,0.2179830109516633,0.11958403233821717,8.16,A,0,0.09839897861344614,0.09839897861344614,0.12254901960784313,0.09543399134382018,0.7787413693655727,True,-1.0,7.38,8.16,0.13274359918426681,0.11958403233821717,0.6087146208232752,0.7787413693655727,2,-0.09558823529411764,-0.013159566846049645,False,False,-1.0,-1.0,0.0
2020-21,2020-10-03,Chelsea,Crystal Palace,H,0.2214500721884172,0.14655869562848084,6.67,A,0,0.07489137655993636,0.07489137655993636,0.14992503748125938,0.07152503470715782,0.4770719814967428,True,-1.0,7.79,6.67,0.12421691936749427,0.14655869562848084,0.72509606234777,0.4770719814967428,2,0.16791604197901044,0.022341776260986573,True,True,-1.0,-1.0,0.0
2020-21,2020-10-03,Leeds,Man City,D,0.2033936931448928,0.10994281074795559,8.85,H,0,0.09345088239693722,0.09345088239693722,0.11299435028248588,0.09039934286240693,0.8000341843323013,True,-1.0,7.98,8.85,0.12008200577407804,0.10994281074795559,0.6230816712962446,0.8000341843323013,0,-0.0983050847457626,-0.010139195026122455,False,False,-1.0,-1.0,0.0
2020-21,2020-10-24,West Ham,Man City,D,0.2229705677512978,0.1395562192900334,6.97,H,0,0.08341434846126441,0.08341434846126441,0.14347202295552366,0.07949854479577415,0.5541048572265457,True,-1.0,7.51,6.97,0.12977383555313382,0.1395562192900334,0.6745089638122466,0.5541048572265457,0,0.07747489239598271,0.009782383736899575,True,True,-1.0,-1.0,0.0
2020-21,2020-10-31,Burnley,Chelsea,A,0.3103267411229878,0.1744446246148857,5.59,H,0,0.1358821165081021,0.1358821165081021,0.17889087656529518,0.13143586455769263,0.7347264828775018,True,-1.0,6.32,5.59,0.15406142300528206,0.1744446246148857,0.961265003897283,0.7347264828775018,0,0.13059033989266555,0.020383201609603635,True,True,-1.0,-1.0,0.0
