Outcome,Bets,WinningBets,HitRate,MeanEarlierOdds,MeanClosingOdds,MeanOddsCLV,MedianOddsCLV,PositiveOddsCLVPercentage,MeanProbabilityCLV,EarlierPriceProfit,EarlierPriceROI
A,102,17,0.16666666666666666,8.890490196078431,8.689117647058824,0.012438863542887956,0.003401395602923296,0.5196078431372549,-0.0004819458455562648,-6.199999999999999,-0.06078431372549019
H,113,26,0.23008849557522124,5.922389380530974,6.148230088495575,-0.009096758513515999,-0.013618677042801397,0.4778761061946903,-0.0004790563735570379,9.68,0.0856637168141593
