Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.3537809833695609,0.31630659552833923,3.09,H,1,0.037474387841221646,0.037474387841221646,0.3236245954692557,0.03015638790030517,0.09318323861194311,True,2.09,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-12,Fulham,Arsenal,A,0.2030143687767847,0.17795215594558414,5.48,H,0,0.025062212831200553,0.025062212831200553,0.18248175182481752,0.020532616951967175,0.11251874089678027,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-12,Liverpool,Leeds,H,0.830040387255834,0.7608203241984672,1.28,H,1,0.06922006305736672,0.06922006305736672,0.78125,0.048790387255833956,0.062451695687467446,True,0.28,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-12,West Ham,Newcastle,A,0.3671459865350515,0.24915966958344107,3.92,A,1,0.11798631695161041,0.11798631695161041,0.25510204081632654,0.11204394571872495,0.4392122672174017,True,2.92,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-13,Tottenham,Everton,A,0.5306869706563574,0.46820805262686094,2.09,H,0,0.062478918029496455,0.062478918029496455,0.47846889952153115,0.05221807113482624,0.10913576867178687,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-13,West Brom,Leicester,A,0.483879778574787,0.42144638403990026,2.32,A,1,0.06243339453488672,0.06243339453488672,0.4310344827586207,0.05284529581616626,0.12260108629350563,True,1.3199999999999998,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-14,Brighton,Chelsea,A,0.2831729628918444,0.16058507991184356,6.07,H,0,0.12258788298000084,0.12258788298000084,0.16474464579901152,0.11842831709283289,0.7188598847534957,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-14,Sheffield United,Wolves,A,0.3716943825373646,0.29807013775964164,3.28,H,0,0.07362424477772295,0.07362424477772295,0.3048780487804878,0.06681633375687679,0.21915757472255581,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-19,Arsenal,West Ham,H,0.683111149938293,0.6400336103071609,1.53,H,1,0.043077539631132145,0.043077539631132145,0.6535947712418301,0.029516378696462953,0.045160059405588315,True,0.53,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-19,Everton,West Brom,H,0.1795910379520096,0.1529708849812626,6.41,A,0,0.02662015297074699,0.02662015297074699,0.15600624024961,0.0235847977023996,0.1511785532723815,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-19,Leeds,Fulham,H,0.2251482675709737,0.19101550177685594,5.12,A,0,0.03413276579411775,0.03413276579411775,0.1953125,0.029835767570973698,0.15275912996338525,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-19,Man United,Crystal Palace,A,0.163636409489315,0.10458032689032844,9.33,A,1,0.05905608259898655,0.05905608259898655,0.10718113612004287,0.05645527336927211,0.5267277005353088,True,8.33,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-20,Chelsea,Liverpool,A,0.3488830661828082,0.29555855114581325,3.32,H,0,0.053324515036994924,0.053324515036994924,0.30120481927710846,0.04767824690569972,0.158291779726923,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-20,Leicester,Burnley,H,0.265406028375737,0.14504822778452678,6.74,A,0,0.12035780059121023,0.12035780059121023,0.14836795252225518,0.11703807585348183,0.7888366312524675,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-20,Newcastle,Brighton,A,0.475362565624765,0.3632026788376414,2.7,H,0,0.11215988678712357,0.11215988678712357,0.37037037037037035,0.10499219525439463,0.2834789271868656,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-20,Southampton,Tottenham,A,0.3213541041990272,0.28433860556716034,3.45,H,0,0.03701549863186687,0.03701549863186687,0.2898550724637681,0.031499031735259087,0.10867165948664392,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-21,Aston Villa,Sheffield United,H,0.4561596982992749,0.29308792936668293,3.35,A,0,0.16307176893259195,0.16307176893259195,0.29850746268656714,0.15765223561270775,0.5281349893025709,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-21,Wolves,Man City,A,0.2800577178217418,0.14595104565228784,6.7,H,0,0.134106672169454,0.134106672169454,0.14925373134328357,0.13080398647845826,0.8763867094056703,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-26,Brighton,Man United,A,0.2434001073498566,0.17534233056179221,5.58,H,0,0.06805777678806438,0.06805777678806438,0.17921146953405018,0.06418863781580642,0.3581725990121998,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-26,Burnley,Southampton,A,0.4380859892551758,0.2910023007449163,3.37,H,0,0.1470836885102595,0.1470836885102595,0.29673590504451036,0.14135008421066542,0.4763497837899424,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-26,Crystal Palace,Everton,A,0.3148826759477547,0.2740515296975305,3.58,H,0,0.040831146250224215,0.040831146250224215,0.27932960893854747,0.03555306700920724,0.1272799798929618,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-26,West Brom,Chelsea,D,0.1473783209454419,0.14048117095191143,6.96,H,0,0.006897149993530471,0.006897149993530471,0.14367816091954022,0.0037001600259016776,0.02575311378027556,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-27,Man City,Leicester,A,0.1652419992348295,0.0977174174897615,9.96,A,1,0.067524581745068,0.067524581745068,0.1004016064257028,0.06484039280912669,0.6458103123789019,True,8.96,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-27,Sheffield United,Leeds,A,0.4004268048685236,0.31753411040147694,3.09,H,0,0.08289269446704667,0.08289269446704667,0.3236245954692557,0.0768022093992679,0.23731882704373786,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-27,Tottenham,Newcastle,D,0.2179830109516633,0.11958403233821717,8.16,A,0,0.09839897861344614,0.09839897861344614,0.12254901960784313,0.09543399134382018,0.7787413693655727,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-27,West Ham,Wolves,H,0.4575782804138885,0.4210840702289294,2.33,A,0,0.036494210184959075,0.036494210184959075,0.4291845493562232,0.028393731057665295,0.06615739336436022,True,-1.0,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-28,Fulham,Aston Villa,A,0.411744001660504,0.39582151917624236,2.48,A,1,0.015922482484261646,0.015922482484261646,0.40322580645161293,0.008518195208891077,0.0211251241180499,True,1.48,True,1,Highest-return candidate: all fixtures,
2020-21,2020-09-28,Liverpool,Arsenal,H,0.7516958517034134,0.6502732240437159,1.5,H,1,0.10142262765969745,0.10142262765969745,0.6666666666666666,0.08502918503674672,0.12754377755512003,True,0.5,True,1,Highest-return candidate: all fixtures,
2020-21,2020-10-03,Chelsea,Crystal Palace,H,0.2214500721884172,0.14655869562848084,6.67,A,0,0.07489137655993636,0.07489137655993636,0.14992503748125938,0.07152503470715782,0.4770719814967428,True,-1.0,True,1,Highest-return candidate: all fixtures,
