Season,Date,HomeTeam,AwayTeam,Outcome,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,OddsCLV,NoVigProbabilityMovement,AbsoluteOddsMovement,PricesIdentical,PositiveOddsCLV,PositiveProbabilityMovement
2015-16,2015-08-08,Bournemouth,Aston Villa,H,1.95,1.82,0.5022800883030665,0.5387042266835245,0.0714285714285714,0.03642413838045799,0.1299999999999999,False,True,True
2015-16,2015-08-08,Chelsea,Swansea,H,1.39,1.37,0.7060636991589744,0.715438329140877,0.014598540145985162,0.009374629981902638,0.019999999999999796,False,True,True
2015-16,2015-08-08,Everton,Watford,H,1.7,1.75,0.5770770510554227,0.5595605453789421,-0.02857142857142858,-0.017516505676480665,0.050000000000000044,False,False,False
2015-16,2015-08-08,Leicester,Sunderland,H,1.99,1.79,0.49252241969672267,0.5465705378020265,0.11173184357541888,0.0540481181053038,0.19999999999999996,False,True,True
2015-16,2015-08-08,Man United,Tottenham,H,1.65,1.64,0.5941474104076131,0.5972033272437518,0.0060975609756097615,0.0030559168361387057,0.010000000000000009,False,True,True
2015-16,2015-08-08,Norwich,Crystal Palace,H,2.52,2.46,0.38904138513513514,0.3985487711731141,0.024390243902439046,0.00950738603797896,0.06000000000000005,False,True,True
2015-16,2015-08-09,Arsenal,West Ham,H,1.31,1.24,0.7479472101027071,0.7896583996256433,0.056451612903225756,0.041711189522936176,0.07000000000000006,False,True,True
2015-16,2015-08-09,Newcastle,Southampton,H,2.88,3.09,0.3406578361912585,0.31707400288869436,-0.06796116504854366,-0.02358383330256414,0.20999999999999996,False,False,False
2015-16,2015-08-09,Stoke,Liverpool,H,3.48,3.89,0.28149610569934697,0.25192050796877735,-0.1053984575835476,-0.029575597730569614,0.41000000000000014,False,False,False
2015-16,2015-08-10,West Brom,Man City,H,5.75,6.46,0.17043490673287215,0.15161265008239821,-0.1099071207430341,-0.018822256650473934,0.71,False,False,False
2015-16,2015-08-14,Aston Villa,Man United,H,5.66,5.06,0.17335515755014394,0.19391661127283566,0.11857707509881443,0.02056145372269172,0.6000000000000005,False,True,True
2015-16,2015-08-15,Southampton,Everton,H,1.98,2.03,0.4949738404561755,0.4828596072453012,-0.024630541871921152,-0.012114233210874292,0.04999999999999982,False,False,False
2015-16,2015-08-15,Sunderland,Norwich,H,2.52,2.86,0.38904138513513514,0.3426011762739168,-0.11888111888111885,-0.04644020886121836,0.33999999999999986,False,False,False
2015-16,2015-08-15,Swansea,Newcastle,H,1.94,1.85,0.5047401572782902,0.5287364737681862,0.048648648648648596,0.023996316489895975,0.08999999999999986,False,True,True
2015-16,2015-08-15,Tottenham,Stoke,H,1.79,1.74,0.5467458773857025,0.5629744735266029,0.028735632183908066,0.016228596140900442,0.050000000000000044,False,True,True
2015-16,2015-08-15,Watford,West Brom,H,2.25,2.09,0.4356506393252709,0.46877948986409695,0.07655502392344515,0.03312885053882603,0.16000000000000014,False,True,True
2015-16,2015-08-15,West Ham,Leicester,H,2.25,2.38,0.43533164095554244,0.411883338504499,-0.054621848739495715,-0.023448302451043457,0.1299999999999999,False,False,False
2015-16,2015-08-16,Crystal Palace,Arsenal,H,5.34,5.4,0.1834950151828662,0.18119895304468484,-0.011111111111111183,-0.0022960621381813706,0.0600000000000005,False,False,False
2015-16,2015-08-16,Man City,Chelsea,H,2.08,2.01,0.471311867978489,0.48756402703863094,0.034825870646766344,0.016252159060141935,0.07000000000000028,False,True,True
2015-16,2015-08-17,Liverpool,Bournemouth,H,1.44,1.54,0.6796990675897394,0.6368515980088018,-0.06493506493506496,-0.04284746958093766,0.10000000000000009,False,False,False
2015-16,2015-08-22,Crystal Palace,Aston Villa,H,1.85,1.81,0.529670841203484,0.5420898865321067,0.022099447513812098,0.012419045328622702,0.040000000000000036,False,True,True
2015-16,2015-08-22,Leicester,Tottenham,H,2.69,2.61,0.36464592052376416,0.3757274422283745,0.03065134099616862,0.011081521704610353,0.08000000000000007,False,True,True
2015-16,2015-08-22,Man United,Newcastle,H,1.39,1.34,0.7070167952700956,0.7316214176519534,0.03731343283582067,0.024604622381857788,0.04999999999999982,False,True,True
2015-16,2015-08-22,Norwich,Stoke,H,2.34,2.15,0.41935270733077123,0.4563121716776573,0.08837209302325588,0.03695946434688607,0.18999999999999995,False,True,True
2015-16,2015-08-22,Sunderland,Swansea,H,3.79,3.91,0.25842606172403054,0.25060789081496593,-0.03069053708439895,-0.007818170909064615,0.1200000000000001,False,False,False
2015-16,2015-08-22,West Ham,Bournemouth,H,2.43,2.64,0.4035799282673549,0.3715209112585176,-0.07954545454545447,-0.03205901700883729,0.20999999999999996,False,False,False
2015-16,2015-08-23,Everton,Man City,H,4.85,5.47,0.20224871003357292,0.1788877173116978,-0.11334552102376605,-0.023360992721875112,0.6200000000000001,False,False,False
2015-16,2015-08-23,Watford,Southampton,H,2.76,2.76,0.3553364375057062,0.3551647648013904,0.0,-0.00017167270431578396,0.0,True,False,False
2015-16,2015-08-23,West Brom,Chelsea,H,6.25,7.25,0.1567838102491568,0.13500478919155087,-0.13793103448275867,-0.02177902105760593,1.0,False,False,False
2015-16,2015-08-24,Arsenal,Liverpool,H,1.74,1.8,0.5634298793907915,0.5447368421052632,-0.033333333333333326,-0.01869303728552829,0.06000000000000005,False,False,False
2015-16,2015-08-29,Aston Villa,Sunderland,H,1.93,2.12,0.5082317101836269,0.4626699590964822,-0.089622641509434,-0.04556175108714472,0.19000000000000017,False,False,False
2015-16,2015-08-29,Bournemouth,Leicester,H,2.15,2.06,0.45567897718282224,0.4753641173903557,0.043689320388349495,0.01968514020753348,0.08999999999999986,False,True,True
2015-16,2015-08-29,Chelsea,Crystal Palace,H,1.37,1.37,0.7167604809113358,0.7135170783537583,0.0,-0.0032434025575774905,0.0,True,False,False
2015-16,2015-08-29,Liverpool,West Ham,H,1.36,1.37,0.7190217565274918,0.7142210358782632,-0.007299270072992692,-0.00480072064922854,0.010000000000000009,False,False,False
2015-16,2015-08-29,Man City,Watford,H,1.19,1.22,0.8225089418885848,0.801931667769689,-0.024590163934426257,-0.02057727411889576,0.030000000000000027,False,False,False
2015-16,2015-08-29,Newcastle,Arsenal,H,6.13,5.81,0.15965487920065388,0.1686874011597259,0.055077452667814164,0.009032521959072032,0.3200000000000003,False,True,True
2015-16,2015-08-29,Stoke,West Brom,H,1.95,2.16,0.5023923444976077,0.4538720679625871,-0.09722222222222232,-0.04852027653502061,0.2100000000000002,False,False,False
2015-16,2015-08-29,Tottenham,Everton,H,1.97,2.1,0.4972075619679417,0.46669427048289425,-0.06190476190476191,-0.030513291485047445,0.13000000000000012,False,False,False
2015-16,2015-08-30,Southampton,Norwich,H,2.05,2.11,0.47810379174122974,0.4640876341206351,-0.028436018957346043,-0.01401615762059466,0.06000000000000005,False,False,False
2015-16,2015-08-30,Swansea,Man United,H,3.55,3.82,0.2761733823925335,0.2566090435306101,-0.0706806282722513,-0.01956433886192338,0.27,False,False,False
2015-16,2015-09-12,Arsenal,Stoke,H,1.28,1.3,0.764752925977761,0.75498420307223,-0.015384615384615441,-0.009768722905530991,0.020000000000000018,False,False,False
2015-16,2015-09-12,Crystal Palace,Man City,H,5.75,4.95,0.17044311734104764,0.19788686708182462,0.16161616161616155,0.027443749740776985,0.7999999999999998,False,True,True
2015-16,2015-09-12,Everton,Chelsea,H,4.11,3.56,0.23832013151995216,0.2752980434658605,0.154494382022472,0.036977911945908354,0.5500000000000003,False,True,True
2015-16,2015-09-12,Man United,Liverpool,H,1.94,1.94,0.5047159339578959,0.504622108033904,0.0,-9.382592399198586e-05,0.0,True,False,False
2015-16,2015-09-12,Norwich,Bournemouth,H,2.36,2.42,0.4151425616782391,0.40509360844372716,-0.024793388429752095,-0.010048953234511937,0.06000000000000005,False,False,False
2015-16,2015-09-12,Watford,Swansea,H,2.75,2.62,0.3564431909135953,0.37451477431803565,0.04961832061068705,0.018071583404440372,0.1299999999999999,False,True,True
2015-16,2015-09-12,West Brom,Southampton,H,3.21,3.25,0.3054536423467257,0.3015949734171097,-0.012307692307692353,-0.0038586689296159493,0.040000000000000036,False,False,False
2015-16,2015-09-13,Leicester,Aston Villa,H,1.86,1.88,0.5263369521511861,0.5213937901538575,-0.010638297872340274,-0.004943161997328693,0.019999999999999796,False,False,False
2015-16,2015-09-13,Sunderland,Tottenham,H,4.32,4.26,0.22673856380764523,0.22986667694204688,0.014084507042253724,0.0031281131344016444,0.0600000000000005,False,True,True
2015-16,2015-09-14,West Ham,Newcastle,H,2.23,2.09,0.44003768353709427,0.469453982868571,0.06698564593301448,0.029416299331476714,0.14000000000000012,False,True,True
2015-16,2015-09-19,Aston Villa,West Brom,H,2.32,2.4,0.4222747930025524,0.40843690142099875,-0.033333333333333326,-0.01383789158155363,0.08000000000000007,False,False,False
2015-16,2015-09-19,Bournemouth,Sunderland,H,1.71,1.57,0.5720177180387964,0.6236086534619556,0.08917197452229297,0.05159093542315918,0.1399999999999999,False,True,True
2015-16,2015-09-19,Chelsea,Arsenal,H,2.45,2.65,0.4002146282571515,0.36960210915482283,-0.07547169811320742,-0.03061251910232865,0.19999999999999973,False,False,False
2015-16,2015-09-19,Man City,West Ham,H,1.27,1.29,0.7714422885250872,0.7574389427724603,-0.015503875968992276,-0.014003345752626961,0.020000000000000018,False,False,False
2015-16,2015-09-19,Newcastle,Watford,H,2.54,2.16,0.385880077369439,0.45422195394997733,0.17592592592592582,0.06834187658053831,0.3799999999999999,False,True,True
2015-16,2015-09-19,Stoke,Leicester,H,2.47,2.99,0.3966499941840177,0.3280318091451292,-0.17391304347826086,-0.0686181850388885,0.52,False,False,False
2015-16,2015-09-19,Swansea,Everton,H,2.3,2.21,0.42642555053230274,0.44389833589358835,0.040723981900452344,0.017472785361285603,0.08999999999999986,False,True,True
2015-16,2015-09-20,Liverpool,Norwich,H,1.68,1.59,0.5829025703183487,0.6170927625421663,0.05660377358490565,0.034190192223817584,0.08999999999999986,False,True,True
2015-16,2015-09-20,Southampton,Man United,H,3.22,3.45,0.3044417442959363,0.28409781987726446,-0.06666666666666665,-0.020343924418671833,0.22999999999999998,False,False,False
