TopWinningBetsRemoved,ProfitFromTopWinningBets,TopWinnerProfitAsPercentOfNetProfit,RemainingBets,ProfitWithoutTopWinningBets,ROIWithoutTopWinningBets
1,9.81,84.5689655172414,179,1.7899999999999974,0.009999999999999985
3,28.83,248.53448275862073,177,-17.23,-0.09734463276836158
5,43.55,375.43103448275866,175,-31.95,-0.18257142857142858
10,71.29,614.5689655172416,170,-59.69000000000001,-0.3511176470588236
