MarketStage,Fixtures,MeanOverround,MedianOverround,MeanMargin,MedianMargin
Earlier Pinnacle,3800,1.026256916814185,1.023799692762025,0.026256916814184936,0.023799692762024982
Pinnacle Closing,3800,1.0246270516305498,1.0231791706423436,0.024627051630549943,0.02317917064234354
