Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.4001009959790252,0.38479818117423936,2.54,A,0,0.015302814804785847,0.015302814804785847,0.39370078740157477,0.006400208577450439,0.016256529786724094,True,-1.0,2.4,2.54,0.40776800513685846,0.38479818117423936,-0.03975760965033959,0.016256529786724094,2
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.2461180206514139,0.2988952232974214,3.27,D,0,-0.05277720264600752,0.05277720264600752,0.3058103975535168,-0.05969237690210291,-0.19519407246987663,False,-1.0,3.29,3.27,0.2974599429569788,0.2988952232974214,-0.19027171205684834,-0.19519407246987663,1
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.3537809833695609,0.31630659552833923,3.09,H,1,0.037474387841221646,0.037474387841221646,0.3236245954692557,0.03015638790030517,0.09318323861194311,True,2.09,3.32,3.09,0.2947720519061628,0.31630659552833923,0.1745528647869421,0.09318323861194311,0
2020-21,2020-09-12,Fulham,Arsenal,A,0.5842924654305472,0.5770282926519533,1.69,A,1,0.007264172778593925,0.007264172778593925,0.591715976331361,-0.0074235109008137234,-0.012545733422375194,False,0.69,1.56,1.69,0.6253342577003069,0.5770282926519533,-0.08850375392834631,-0.012545733422375194,2
2020-21,2020-09-12,Fulham,Arsenal,A,0.2126931657926678,0.24501955140246257,3.98,D,0,-0.032326385609794756,0.032326385609794756,0.25125628140703515,-0.038563115614367344,-0.15348120014518207,False,-1.0,4.51,3.98,0.21630187184312172,0.24501955140246257,-0.040753822275068186,-0.15348120014518207,1
2020-21,2020-09-12,Fulham,Arsenal,A,0.2030143687767847,0.17795215594558414,5.48,H,0,0.025062212831200553,0.025062212831200553,0.18248175182481752,0.020532616951967175,0.11251874089678027,True,-1.0,6.16,5.48,0.15836387045657124,0.17795215594558414,0.25056851166499383,0.11251874089678027,0
2020-21,2020-09-12,Liverpool,Leeds,H,0.0600992423332315,0.08557557249332495,11.38,A,0,-0.02547633016009345,0.02547633016009345,0.08787346221441124,-0.027774219881179736,-0.31607062224782545,False,-1.0,9.92,11.38,0.09842791830512837,0.08557557249332495,-0.4038155160543435,-0.31607062224782545,2
2020-21,2020-09-12,Liverpool,Leeds,H,0.1098603704109345,0.1536041033082079,6.34,D,0,-0.0437437328972734,0.0437437328972734,0.15772870662460567,-0.047868336213671175,-0.3034852515946753,False,-1.0,6.25,6.34,0.15622479193389974,0.1536041033082079,-0.3133726849316594,-0.3034852515946753,1
2020-21,2020-09-12,Liverpool,Leeds,H,0.830040387255834,0.7608203241984672,1.28,H,1,0.06922006305736672,0.06922006305736672,0.78125,0.048790387255833956,0.062451695687467446,True,0.28,1.31,1.28,0.745347289760972,0.7608203241984672,0.08735290730514245,0.062451695687467446,0
2020-21,2020-09-12,West Ham,Newcastle,A,0.3671459865350515,0.24915966958344107,3.92,A,1,0.11798631695161041,0.11798631695161041,0.25510204081632654,0.11204394571872495,0.4392122672174017,True,2.92,3.5,3.92,0.2797176450516798,0.24915966958344107,0.2850109528726801,0.4392122672174017,2
