Season,Date,FixturesOnDate,ModelMeanLogLoss,MarketMeanLogLoss,MeanLossDifference
2020-21,2020-09-12,4,0.6911768798707392,0.8409816687392919,-0.14980478886855275
2020-21,2020-09-13,2,1.0896815833529119,1.1207881624987934,-0.031106579145881386
2020-21,2020-09-14,2,0.8792352545520065,0.7425241144644579,0.1367111400875486
2020-21,2020-09-19,4,0.8635824516306253,0.945444758091156,-0.08186230646053068
2020-21,2020-09-20,4,0.9382949356655366,0.7995653816287484,0.13872955403678824
2020-21,2020-09-21,2,1.0074326960240862,0.6830639225626974,0.3243687734613888
2020-21,2020-09-26,4,1.1093684497830218,0.9599013110087216,0.14946713877430046
2020-21,2020-09-27,4,1.378791581531101,1.5360968372644774,-0.1573052557333765
2020-21,2020-09-28,2,0.5863884836570188,0.6785772691041748,-0.09218878544715595
2020-21,2020-10-03,4,0.9224593930592166,1.009398456816537,-0.08693906375732044
2020-21,2020-10-04,6,1.2979488465412268,1.0724813842928065,0.2254674622484202
2020-21,2020-10-17,4,1.0871319801422017,1.009442232447484,0.07768974769471772
2020-21,2020-10-18,4,1.4458585857511184,1.2298834611191278,0.21597512463199048
2020-21,2020-10-19,2,1.1506502541352057,1.1508946181573063,-0.00024436402210070707
2020-21,2020-10-23,1,1.2907869280575979,1.3742496810945704,-0.08346275303697248
2020-21,2020-10-24,4,0.9610511492003043,1.0732659848792288,-0.11221483567892446
2020-21,2020-10-25,3,1.3173493046746805,1.290812443242636,0.02653686143204448
2020-21,2020-10-26,2,0.9352489364881363,0.9912553915657359,-0.05600645507759963
2020-21,2020-10-30,1,0.6154985300035669,0.7717912945070428,-0.15629276450347585
2020-21,2020-10-31,3,0.5606632953751092,0.39582626683330124,0.16483702854180793
2020-21,2020-11-01,4,1.063679313116348,1.037044019017432,0.026635294098916185
2020-21,2020-11-02,2,0.9226872042705685,1.0169252474495236,-0.09423804317895501
2020-21,2020-11-06,2,1.0398669883468636,1.0292976015223294,0.010569386824534288
2020-21,2020-11-07,4,0.8013765397866474,0.7308562197740929,0.07052032001255434
2020-21,2020-11-08,4,0.9909530806865595,1.1048054186632703,-0.11385233797671086
2020-21,2020-11-21,4,0.7055717403401898,0.8387486597813787,-0.13317691944118892
2020-21,2020-11-22,4,0.827513102878356,0.9049338551472281,-0.07742075226887213
2020-21,2020-11-23,2,1.064491549126403,1.1149287881438352,-0.05043723901743208
2020-21,2020-11-27,1,1.3200047181128776,1.3978096613397846,-0.07780494322690701
2020-21,2020-11-28,4,1.2404375253066626,0.9459716968607617,0.2944658284459011
2020-21,2020-11-29,3,1.2700771853044281,1.1429512696859319,0.1271259156184964
2020-21,2020-11-30,2,1.4289729524622332,1.2936317765319292,0.13534117593030404
2020-21,2020-12-05,4,0.6856819287598623,0.6732919421277266,0.012389986632135724
2020-21,2020-12-06,4,0.6962124400705074,0.7411436356354939,-0.04493119556498644
2020-21,2020-12-07,1,0.9576681710079367,1.1269496937441432,-0.16928152273620656
2020-21,2020-12-11,1,1.2690948346351212,1.222094199574577,0.04700063506054408
2020-21,2020-12-12,4,1.199648565576773,1.288902993382131,-0.08925442780535789
2020-21,2020-12-13,5,1.4409952286690213,1.270197317203277,0.17079791146574427
2020-21,2020-12-15,2,1.6538788952071544,2.1734161976424358,-0.5195373024352814
2020-21,2020-12-16,6,1.2165215588171499,1.0312541249544829,0.185267433862667
2020-21,2020-12-17,2,1.0063471086261264,0.886004613045526,0.12034249558060037
2020-21,2020-12-19,4,0.7735429918388548,0.8134085640574875,-0.03986557221863274
2020-21,2020-12-20,4,0.9895042670479435,0.9240435813699908,0.0654606856779527
2020-21,2020-12-21,2,0.7403486265402476,0.885415669294028,-0.14506704275378046
2020-21,2020-12-26,6,0.9988685029262024,0.972289995016832,0.026578507909370577
2020-21,2020-12-27,4,1.5818754707573157,1.3305911875429826,0.2512842832143331
2020-21,2020-12-28,2,1.5796936204932508,1.3492554016106713,0.23043821888257943
2020-21,2020-12-29,5,0.897082673967639,0.8168885737510113,0.0801941002166277
2020-21,2020-12-30,1,3.354464241237483,1.8280818049630543,1.5263824362744287
2020-21,2021-01-01,2,0.8537270406817712,0.8997196985523224,-0.04599265787055121
2020-21,2021-01-02,4,0.8536229732074909,0.7734356840503608,0.08018728915713012
2020-21,2021-01-03,2,0.8256712066418108,0.6428930168376475,0.18277818980416324
2020-21,2021-01-04,1,2.450394732821025,1.8412896927039009,0.6091050401171241
2020-21,2021-01-12,3,0.7736747401706658,0.8107493394492531,-0.03707459927858733
2020-21,2021-01-13,2,1.1546227500608894,0.7832308873447057,0.37139186271618374
2020-21,2021-01-14,1,1.6363564920584504,1.3939908621920534,0.24236562986639698
2020-21,2021-01-16,5,1.1742171878419503,0.9546795293854482,0.21953765845650222
2020-21,2021-01-17,3,0.8211580319421357,0.7460665469342223,0.0750914850079134
2020-21,2021-01-18,1,0.4941379068537868,0.39237580070144423,0.10176210615234255
2020-21,2021-01-19,2,0.4556607323691763,0.768682327029964,-0.3130215946607876
2020-21,2021-01-20,2,0.2389780259230878,0.4199355928841929,-0.18095756696110513
2020-21,2021-01-21,1,3.219019543258014,2.282127569652316,0.936891973605698
2020-21,2021-01-23,1,0.5221159483051954,0.44447246560216364,0.07764348270303173
2020-21,2021-01-26,4,0.9870912859247442,0.6010590855044876,0.3860322004202566
2020-21,2021-01-27,5,1.5659409940461544,1.5749292121405472,-0.008988218094392587
2020-21,2021-01-28,1,1.229234164994936,0.7253114168752021,0.503922748119734
2020-21,2021-01-30,6,1.3266727198309185,1.1085600776712694,0.21811264215964907
2020-21,2021-01-31,4,1.0342168015054434,0.938868446540766,0.09534835496467742
2020-21,2021-02-02,4,0.6841948790537754,0.8708207465219444,-0.186625867468169
2020-21,2021-02-03,5,1.3115465590988244,1.014709531693987,0.2968370274048378
2020-21,2021-02-04,1,1.7292005207712338,0.7122154518064222,1.0169850689648117
2020-21,2021-02-06,5,1.1931082020694812,1.274054667847276,-0.08094646577779488
2020-21,2021-02-07,4,0.89310234407533,0.7229857102639583,0.1701166338113716
2020-21,2021-02-08,1,0.7871145587508149,0.6079521320623156,0.17916242668849935
2020-21,2021-02-13,4,0.9984351204470577,0.9974737260980826,0.0009613943489750337
2020-21,2021-02-14,4,1.4044375071658999,1.3006248335617956,0.10381267360410418
2020-21,2021-02-15,2,0.35485251836754367,0.5100307338123157,-0.15517821544477203
2020-21,2021-02-17,2,1.0610918955975694,0.7222700212168727,0.3388218743806968
2020-21,2021-02-19,1,0.7020016078553046,0.8728182246321874,-0.17081661677688276
2020-21,2021-02-20,4,1.541177019955852,1.3639300956941884,0.17724692426166377
2020-21,2021-02-21,4,0.5319907555710252,0.6687683741163726,-0.13677761854534737
2020-21,2021-02-22,1,1.3670781759181765,1.7237377318607594,-0.3566595559425829
2020-21,2021-02-23,1,0.950262670084221,0.8189543477676232,0.13130832231659784
2020-21,2021-02-27,4,1.0414803026082027,1.0830556739714867,-0.04157537136328415
2020-21,2021-02-28,5,1.11315718994318,0.8894566258086659,0.22370056413451406
2020-21,2021-03-01,1,0.4599725414881355,0.8109705721557197,-0.35099803066758417
2020-21,2021-03-02,1,0.22809326138574443,0.2231045134670119,0.004988747918732522
2020-21,2021-03-03,3,1.2437714597252185,1.3393601773072437,-0.09558871758202532
2020-21,2021-03-04,3,1.279337789870036,0.9141573189275816,0.36518047094245426
2020-21,2021-03-06,4,1.1036080601098248,1.1172317502756974,-0.013623690165872643
2020-21,2021-03-07,4,1.6097492527082624,1.3603884957758727,0.24936075693238968
2020-21,2021-03-08,2,0.5629110429434241,0.6868052568918674,-0.12389421394844324
2020-21,2021-03-10,1,0.08230767026226063,0.19506160165565256,-0.11275393139339193
2020-21,2021-03-12,1,1.3496475809181694,1.2522287804484773,0.09741880046969209
2020-21,2021-03-13,4,0.9940438973776402,1.0385118171555188,-0.044467919777878576
2020-21,2021-03-14,4,0.6616973862889786,0.7528063737098216,-0.09110898742084304
2020-21,2021-03-15,1,1.049745367396728,0.5307374868200394,0.5190078805766887
2020-21,2021-03-19,1,1.0614464751104882,1.098816072250651,-0.03736959714016286
2020-21,2021-03-20,1,0.7051373112659973,0.5881386033165298,0.11699870794946754
2020-21,2021-03-21,2,1.1934906004590236,1.0920481881226711,0.1014424123363526
2020-21,2021-04-03,4,1.3911845917545271,1.128450227024107,0.2627343647304201
2020-21,2021-04-04,4,0.7335309283142167,0.9106225781291257,-0.177091649814909
2020-21,2021-04-05,2,1.2552010911944957,1.1491473157938177,0.10605377540067806
2020-21,2021-04-09,1,0.9905745806484083,1.105935586848409,-0.11536100620000078
2020-21,2021-04-10,3,1.5870285910439748,1.0037227779757443,0.5833058130682305
2020-21,2021-04-11,4,1.0190974067850491,0.9748997266247119,0.044197680160337094
2020-21,2021-04-12,2,1.279496918608345,1.3033314677476704,-0.02383454913932559
2020-21,2021-04-16,1,1.2096947187708829,1.2631419411496794,-0.05344722237879651
2020-21,2021-04-17,2,0.8904541481730274,0.9441019378831372,-0.05364778971010983
2020-21,2021-04-18,2,0.9533769195815317,0.8444562653781768,0.10892065420335495
2020-21,2021-04-19,1,1.3954034648684206,1.5219064953153698,-0.12650303044694922
2020-21,2021-04-20,1,1.7173247791278479,1.3439817274904071,0.37334305163744075
2020-21,2021-04-21,2,0.4418831721958458,0.48511094751615563,-0.04322777532030986
2020-21,2021-04-22,1,0.28292897552578633,0.5194533254560327,-0.2365243499302464
