WalkForwardRank,Model,MeanLogLoss,MedianLogLoss,LogLossStandardDeviation,BestSeasonLogLoss,WorstSeasonLogLoss,MeanBrierScore,MeanAccuracy,SeasonsWon,LogLossRange
1,Independent Poisson,0.9850017226023103,0.9796753711712657,0.051287837506133256,0.9247239288381749,1.0654909613520156,0.585180855767167,0.5357894736842106,3,0.1407670325138407
2,Direct Probability Ensemble,0.9879567511522509,0.9746002079109988,0.04870382346102938,0.9311845847493946,1.0641775866238325,0.5863199261905818,0.5394736842105263,1,0.13299300187443797
3,Tuned Random Forest,0.9882759353078339,0.9777680091767121,0.044267645825336495,0.9367444861334715,1.056991113784488,0.5863731346363534,0.5389473684210526,1,0.12024662765101657
4,Tuned Histogram Gradient Boosting,0.9944091885516176,0.9853959854582696,0.05244666200442015,0.9373780615066387,1.0794552606984278,0.5893689236301091,0.54,0,0.14207719919178907
5,Tuned Logistic Regression,0.994523243093002,0.9838212421151333,0.05233449151474938,0.934551183181492,1.0770273849228256,0.5900338074794352,0.5278947368421052,0,0.14247620174133357
