EvaluationSeason,Model,Fixtures,LogLoss,BrierScore,Accuracy
2020-21,Tuned Logistic Regression,380,1.0770273849228256,0.6357362130218391,0.47368421052631576
2020-21,Tuned Random Forest,380,1.056991113784488,0.6262657479345155,0.5026315789473684
2020-21,Tuned Histogram Gradient Boosting,380,1.0794552606984278,0.6349700900623222,0.5026315789473684
2020-21,Direct Probability Ensemble,380,1.0641775866238325,0.6292315281239141,0.5052631578947369
2020-21,Independent Poisson,380,1.0654909613520156,0.6303052295437402,0.49473684210526314
2021-22,Tuned Logistic Regression,380,0.9838212421151333,0.5838660901097816,0.531578947368421
2021-22,Tuned Random Forest,380,0.9721214004862118,0.5762531143104785,0.5473684210526316
2021-22,Tuned Histogram Gradient Boosting,380,0.9736066660680084,0.579844574104447,0.5394736842105263
2021-22,Direct Probability Ensemble,380,0.9735396549756887,0.5784215926450552,0.55
2021-22,Independent Poisson,380,0.9659254725450742,0.5749441563754937,0.55
2022-23,Tuned Logistic Regression,380,0.9750526431200316,0.5809652989624361,0.5421052631578948
2022-23,Tuned Random Forest,380,0.9777680091767121,0.5814525515862349,0.5394736842105263
2022-23,Tuned Histogram Gradient Boosting,380,0.9853959854582696,0.5852599057119909,0.5526315789473685
2022-23,Direct Probability Ensemble,380,0.9746002079109988,0.5800635007490292,0.5394736842105263
2022-23,Independent Poisson,380,0.9796753711712657,0.5827400418087424,0.5473684210526316
2023-24,Tuned Logistic Regression,380,0.934551183181492,0.5493221770438442,0.5921052631578947
2023-24,Tuned Random Forest,380,0.9367444861334715,0.5521816704659405,0.5789473684210527
2023-24,Tuned Histogram Gradient Boosting,380,0.9373780615066387,0.5519245530677833,0.5815789473684211
2023-24,Direct Probability Ensemble,380,0.9311845847493946,0.5479997978938514,0.5842105263157895
2023-24,Independent Poisson,380,0.9247239288381749,0.5452391749425416,0.5842105263157895
2024-25,Tuned Logistic Regression,380,1.0021637621255277,0.6002792582592751,0.5
2024-25,Tuned Random Forest,380,0.9977546669582861,0.5957125888845978,0.5263157894736842
2024-25,Tuned Histogram Gradient Boosting,380,0.9962099690267439,0.594845495204002,0.5236842105263158
2024-25,Direct Probability Ensemble,380,0.9962817215013405,0.5958832115410589,0.5184210526315789
2024-25,Independent Poisson,380,0.9891928791050212,0.5926756761653172,0.5026315789473684
