ComparisonModel,MeanComparisonLogLoss,MeanPoissonLogLoss,MeanLossDifference,PoissonRelativeImprovementPercent,DatesCompared,SeasonsPoissonBetter,PairedTStatistic,PairedTPValue,WilcoxonStatistic,WilcoxonPValue,Bootstrap95Lower,Bootstrap95Upper,BootstrapProbabilityPoissonBetter,HolmAdjustedTPValue,HolmAdjustedWilcoxonPValue,BootstrapCIExcludesZero,LowerMeanLossModel
Tuned Logistic Regression,0.994523243093002,0.9850017226023103,0.00952152049069166,0.9573954713294984,604,4,1.692312662922217,0.09110296373869789,82226.0,0.03335825519056037,0.003282509341166348,0.015876421802434138,0.9987,0.36441185495479156,0.13343302076224148,True,Independent Poisson
Tuned Histogram Gradient Boosting,0.9944091885516178,0.9850017226023103,0.009407465949307414,0.9460357021649838,604,5,1.5130932740725145,0.13077988852176312,85505.0,0.1727279136785156,0.0003388286422815066,0.018708993103262503,0.9787,0.3923396655652893,0.5181837410355468,True,Independent Poisson
Tuned Random Forest,0.9882759353078339,0.9850017226023103,0.003274212705523527,0.33130551787681206,604,3,0.17843489289909464,0.8584413789879263,89122.0,0.6027449381336321,-0.004666542488556516,0.010913360879106338,0.7914,1.0,0.9589458362813426,False,Independent Poisson
Direct Probability Ensemble,0.9879567511522512,0.9850017226023103,0.002955028549940897,0.29910505156166556,604,3,0.3733841041286645,0.7089938164202105,88321.0,0.4794729181406713,-0.0027049994575520874,0.008860961299315111,0.8472,1.0,0.9589458362813426,False,Independent Poisson
