Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-10-18,Crystal Palace,Brighton,1,2020-21,Tuned Logistic Regression,D,H,0.3976128461188316,0.30324742571415997,0.29913972816700846
2020-21,2020-10-18,Leicester,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.6465564424760097,0.1580220519950583,0.19542150552893198
2020-21,2020-10-18,Sheffield United,Fulham,1,2020-21,Tuned Logistic Regression,D,H,0.534017646893224,0.26912317433388794,0.19685917877288817
2020-21,2020-10-18,Tottenham,West Ham,1,2020-21,Tuned Logistic Regression,D,H,0.5349009487062881,0.27131135901971465,0.19378769227399728
2020-21,2020-10-19,Leeds,Wolves,1,2020-21,Tuned Logistic Regression,A,A,0.34985914189015727,0.27429770905492645,0.3758431490549163
2020-21,2020-10-19,West Brom,Burnley,1,2020-21,Tuned Logistic Regression,D,A,0.38007850624519196,0.18657527876326693,0.433346214991541
2020-21,2020-10-23,Aston Villa,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.36170564571490893,0.35632425811522334,0.2819700961698678
2020-21,2020-10-24,Fulham,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,A,0.3205967292292068,0.2583997724561841,0.42100349831460915
2020-21,2020-10-24,Liverpool,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.8630141974258733,0.09606499170872312,0.04092081086540369
2020-21,2020-10-24,Man United,Chelsea,1,2020-21,Tuned Logistic Regression,D,H,0.3660594675282756,0.34148961712669684,0.2924509153450275
2020-21,2020-10-24,West Ham,Man City,1,2020-21,Tuned Logistic Regression,D,A,0.21814921196425477,0.13746119311327007,0.644389594922475
2020-21,2020-10-25,Arsenal,Leicester,1,2020-21,Tuned Logistic Regression,A,H,0.44416498526164616,0.2631197993925521,0.2927152153458017
2020-21,2020-10-25,Southampton,Everton,1,2020-21,Tuned Logistic Regression,H,A,0.28064210259319106,0.24466959047264025,0.4746883069341686
2020-21,2020-10-25,Wolves,Newcastle,1,2020-21,Tuned Logistic Regression,D,H,0.44823689226007357,0.3183359079158963,0.23342719982403012
2020-21,2020-10-26,Brighton,West Brom,1,2020-21,Tuned Logistic Regression,D,H,0.5654302675941627,0.21596878533899025,0.21860094706684705
2020-21,2020-10-26,Burnley,Tottenham,1,2020-21,Tuned Logistic Regression,A,D,0.20397576863088596,0.4014380829562035,0.39458614841291056
2020-21,2020-10-30,Wolves,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,H,0.4912616663810507,0.27268955327494326,0.23604878034400611
2020-21,2020-10-31,Burnley,Chelsea,1,2020-21,Tuned Logistic Regression,A,A,0.2642455943685252,0.34398880684137284,0.39176559879010203
2020-21,2020-10-31,Liverpool,West Ham,1,2020-21,Tuned Logistic Regression,H,H,0.7170466017280696,0.200158096375945,0.08279530189598537
2020-21,2020-10-31,Sheffield United,Man City,1,2020-21,Tuned Logistic Regression,A,A,0.27661801194019403,0.13508391681734164,0.5882980712424642
2020-21,2020-11-01,Aston Villa,Southampton,1,2020-21,Tuned Logistic Regression,A,D,0.24283783177507293,0.40901145157236407,0.348150716652563
2020-21,2020-11-01,Man United,Arsenal,1,2020-21,Tuned Logistic Regression,A,H,0.48481988520455566,0.26388697824949464,0.2512931365459497
2020-21,2020-11-01,Newcastle,Everton,1,2020-21,Tuned Logistic Regression,H,A,0.2769952818234881,0.22418481686116645,0.49881990131534537
2020-21,2020-11-01,Tottenham,Brighton,1,2020-21,Tuned Logistic Regression,H,H,0.546225701209643,0.29976096137557856,0.1540133374147785
2020-21,2020-11-02,Fulham,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.4483357595063308,0.26459478108083506,0.2870694594128342
