Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-10-18,Tottenham,West Ham,2020-21,D,1.3044881913411113,1.4962082912882269,Tuned Logistic Regression,-0.19172009994711559
2020-21,2020-10-19,Leeds,Wolves,2020-21,A,0.9785833793951725,0.9942376395182523,Tuned Logistic Regression,-0.0156542601230798
2020-21,2020-10-19,West Brom,Burnley,2020-21,D,1.678920481857444,1.3070628687521588,Tuned Logistic Regression,0.3718576131052851
2020-21,2020-10-23,Aston Villa,Leeds,2020-21,A,1.2659542556176921,1.2907869280575979,Tuned Logistic Regression,-0.024832672439905723
2020-21,2020-10-24,Fulham,Crystal Palace,2020-21,A,0.8651141357983909,0.9235916974081674,Tuned Logistic Regression,-0.05847756160977646
2020-21,2020-10-24,Liverpool,Sheffield United,2020-21,H,0.1473241367873628,0.09732794083057536,Tuned Logistic Regression,0.04999619595678745
2020-21,2020-10-24,Man United,Chelsea,2020-21,D,1.0744380041620547,1.3107563892836884,Tuned Logistic Regression,-0.23631838512163372
2020-21,2020-10-24,West Ham,Man City,2020-21,D,1.9844136336139204,1.5125285692787858,Tuned Logistic Regression,0.47188506433513466
2020-21,2020-10-25,Arsenal,Leicester,2020-21,A,1.228555103902856,1.3071767258458897,Tuned Logistic Regression,-0.07862162194303379
2020-21,2020-10-25,Southampton,Everton,2020-21,H,1.2706750776898716,1.2465045880711814,Tuned Logistic Regression,0.024170489618690283
2020-21,2020-10-25,Wolves,Newcastle,2020-21,D,1.1446481395083068,1.3983666001069703,Tuned Logistic Regression,-0.25371846059866354
2020-21,2020-10-26,Brighton,West Brom,2020-21,D,1.532621394060373,1.3907694804295327,Tuned Logistic Regression,0.14185191363084027
2020-21,2020-10-26,Burnley,Tottenham,2020-21,A,0.9299177888660252,0.47972839254673966,Tuned Logistic Regression,0.4501893963192855
2020-21,2020-10-30,Wolves,Crystal Palace,2020-21,H,0.710778367722281,0.6154985300035669,Tuned Logistic Regression,0.09527983771871407
2020-21,2020-10-31,Burnley,Chelsea,2020-21,A,0.9370915803125616,0.8731906237408614,Tuned Logistic Regression,0.06390095657170014
2020-21,2020-10-31,Liverpool,West Ham,2020-21,H,0.3326144450579904,0.20384567523747418,Tuned Logistic Regression,0.12876876982051624
2020-21,2020-10-31,Sheffield United,Man City,2020-21,A,0.530521535644274,0.6049535871469918,Tuned Logistic Regression,-0.07443205150271781
2020-21,2020-11-01,Aston Villa,Southampton,2020-21,A,1.0551197991365215,1.0042860383549197,Tuned Logistic Regression,0.050833760781601844
2020-21,2020-11-01,Man United,Arsenal,2020-21,A,1.3811351466004322,1.4385968238214362,Tuned Logistic Regression,-0.057461677221003926
2020-21,2020-11-01,Newcastle,Everton,2020-21,H,1.2837548060680657,1.360279312761531,Tuned Logistic Regression,-0.07652450669346522
2020-21,2020-11-01,Tottenham,Brighton,2020-21,H,0.60472301647314,0.4515550775275053,Tuned Logistic Regression,0.15316793894563469
2020-21,2020-11-02,Fulham,West Brom,2020-21,H,0.8022128640906653,0.8269728359538678,Tuned Logistic Regression,-0.024759971863202557
2020-21,2020-11-02,Leeds,Leicester,2020-21,A,1.010160850210194,1.018401572587269,Tuned Logistic Regression,-0.008240722377075071
