Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,ActualHomeGoals,ActualAwayGoals,ExpectedHomeGoals,ExpectedAwayGoals
2020-21,2020-10-31,Liverpool,West Ham,1,2020-21,2,1,2.752580129766494,0.63137120120247
2020-21,2020-10-31,Sheffield United,Man City,1,2020-21,0,1,1.2159939058022966,1.9568578163721135
2020-21,2020-11-01,Aston Villa,Southampton,1,2020-21,3,4,1.1041956004182112,1.1444410722997966
2020-21,2020-11-01,Man United,Arsenal,1,2020-21,0,1,1.7264325818380384,1.0806797570420508
2020-21,2020-11-01,Newcastle,Everton,1,2020-21,2,1,1.1094590792895525,1.6455315842465033
2020-21,2020-11-01,Tottenham,Brighton,1,2020-21,2,1,1.8363834590592338,0.7333278953857759
2020-21,2020-11-02,Fulham,West Brom,1,2020-21,2,0,1.3190197388322402,1.0081763324298272
2020-21,2020-11-02,Leeds,Leicester,1,2020-21,1,4,1.3861640793080785,1.3403689043714153
2020-21,2020-11-06,Brighton,Burnley,1,2020-21,0,0,1.6486996942317382,1.0338536983032456
2020-21,2020-11-06,Southampton,Newcastle,1,2020-21,2,0,1.6688141417999018,1.0858814659726979
2020-21,2020-11-07,Chelsea,Sheffield United,1,2020-21,4,1,2.00909978300057,0.6228502017710723
2020-21,2020-11-07,Crystal Palace,Leeds,1,2020-21,4,1,1.4495140041153591,1.3800382873329533
2020-21,2020-11-07,Everton,Man United,1,2020-21,1,3,1.7032361806143272,1.1735515453885152
2020-21,2020-11-07,West Ham,Fulham,1,2020-21,1,0,1.676638795709818,0.87352614178926
2020-21,2020-11-08,Arsenal,Aston Villa,1,2020-21,0,3,1.5528212586914092,0.9274402828168022
2020-21,2020-11-08,Leicester,Wolves,1,2020-21,1,0,1.805984694220157,0.9364185705603418
2020-21,2020-11-08,Man City,Liverpool,1,2020-21,1,1,1.6582628915603492,1.3529684513347922
2020-21,2020-11-08,West Brom,Tottenham,1,2020-21,0,1,0.940567359229095,1.946126423516107
2020-21,2020-11-21,Aston Villa,Brighton,1,2020-21,1,2,1.4001019285879515,1.0026902651860903
2020-21,2020-11-21,Man United,West Brom,1,2020-21,1,0,2.2114572484218984,0.6208882849679556
2020-21,2020-11-21,Newcastle,Chelsea,1,2020-21,0,2,1.0826549942663002,1.8068743907748566
2020-21,2020-11-21,Tottenham,Man City,1,2020-21,2,0,1.912623928779598,1.1563376227225064
2020-21,2020-11-22,Fulham,Everton,1,2020-21,2,3,0.9948758853129642,1.685815102335296
2020-21,2020-11-22,Leeds,Arsenal,1,2020-21,0,0,1.4672942012129315,1.329774156058484
2020-21,2020-11-22,Liverpool,Leicester,1,2020-21,3,0,2.7517401328504407,0.6817178281591835
2020-21,2020-11-22,Sheffield United,West Ham,1,2020-21,0,1,1.4075996539813955,1.2569242310382944
2020-21,2020-11-23,Burnley,Crystal Palace,1,2020-21,1,0,1.3764385085268616,0.9742219911790135
2020-21,2020-11-23,Wolves,Southampton,1,2020-21,1,1,1.4121861776266156,1.2813663482350586
2020-21,2020-11-27,Crystal Palace,Newcastle,1,2020-21,0,2,1.5459208356181877,1.087277012522348
2020-21,2020-11-28,Brighton,Liverpool,1,2020-21,1,1,0.8150719294540973,2.841468822294832
2020-21,2020-11-28,Everton,Leeds,1,2020-21,0,1,1.8065800446210485,0.89492767802264
2020-21,2020-11-28,Man City,Burnley,1,2020-21,5,0,2.5427594700642775,0.7264674714602186
2020-21,2020-11-28,West Brom,Sheffield United,1,2020-21,1,0,1.2121712706476169,1.1211314510066475
2020-21,2020-11-29,Arsenal,Wolves,1,2020-21,1,2,1.5213198744844034,1.1506856345318837
2020-21,2020-11-29,Chelsea,Tottenham,1,2020-21,0,0,1.8013472778280424,1.052988957822064
2020-21,2020-11-29,Southampton,Man United,1,2020-21,2,3,1.629585374552698,1.4154994154803813
2020-21,2020-11-30,Leicester,Fulham,1,2020-21,1,2,2.0609293944990172,0.6105958750632476
2020-21,2020-11-30,West Ham,Aston Villa,1,2020-21,2,1,1.8891198337741364,0.9922042388838919
2020-21,2020-12-05,Burnley,Everton,1,2020-21,1,1,1.35874693888881,1.2329678289846293
2020-21,2020-12-05,Chelsea,Leeds,1,2020-21,3,1,2.3126682283814235,0.7837176824775768
2020-21,2020-12-05,Man City,Fulham,1,2020-21,2,0,2.4061870054372583,0.5926250187180268
2020-21,2020-12-05,West Ham,Man United,1,2020-21,1,3,1.3191326514144537,1.5920037075765239
2020-21,2020-12-06,Liverpool,Wolves,1,2020-21,4,0,2.572518734393081,0.6597628680520778
2020-21,2020-12-06,Sheffield United,Leicester,1,2020-21,1,2,1.3522152185529646,1.2339040121766838
2020-21,2020-12-06,Tottenham,Arsenal,1,2020-21,2,0,2.118485775609884,0.8167678756024424
2020-21,2020-12-06,West Brom,Crystal Palace,1,2020-21,1,5,1.2386605442656282,1.1601828827231764
2020-21,2020-12-07,Brighton,Southampton,1,2020-21,1,2,1.2886703734416614,1.3510184166395214
2020-21,2020-12-11,Leeds,West Ham,1,2020-21,1,2,1.6119106609695386,1.1869054159988603
2020-21,2020-12-12,Everton,Chelsea,1,2020-21,1,0,1.0183341867788394,1.8463549347831636
2020-21,2020-12-12,Man United,Man City,1,2020-21,0,0,1.2233910637931131,1.3323407792918163
2020-21,2020-12-12,Newcastle,West Brom,1,2020-21,2,1,1.5541723311301048,0.6223664569037267
2020-21,2020-12-12,Wolves,Aston Villa,1,2020-21,0,1,1.8372079307662468,1.2092639367006865
2020-21,2020-12-13,Arsenal,Burnley,1,2020-21,0,1,1.907135195970234,0.9781303195254986
2020-21,2020-12-13,Crystal Palace,Tottenham,1,2020-21,1,1,1.0839432315493402,1.913856790418847
2020-21,2020-12-13,Fulham,Liverpool,1,2020-21,1,1,0.5775325758650907,4.148956583469582
2020-21,2020-12-13,Leicester,Brighton,1,2020-21,3,0,1.7810005651682004,0.8669687519044964
2020-21,2020-12-13,Southampton,Sheffield United,1,2020-21,3,0,1.9152932091628632,0.7814443371611318
2020-21,2020-12-15,Man City,West Brom,1,2020-21,1,1,2.607260483830806,0.4150910853816987
2020-21,2020-12-15,Wolves,Chelsea,1,2020-21,2,1,1.3406499170203852,1.6525962913642844
2020-21,2020-12-16,Arsenal,Southampton,1,2020-21,1,1,1.224424864747499,1.3734257687076967
2020-21,2020-12-16,Fulham,Brighton,1,2020-21,0,0,1.3829085153022747,1.1745000245740056
2020-21,2020-12-16,Leeds,Newcastle,1,2020-21,5,2,1.563436577036416,1.256131294332148
2020-21,2020-12-16,Leicester,Everton,1,2020-21,0,2,1.899571325277127,0.7063735541058997
2020-21,2020-12-16,Liverpool,Tottenham,1,2020-21,2,1,2.307432195895324,0.9866581448606885
2020-21,2020-12-16,West Ham,Crystal Palace,1,2020-21,1,1,1.1964394227227275,1.5868085179093243
2020-21,2020-12-17,Aston Villa,Burnley,1,2020-21,0,0,1.2955496267050999,0.8735350003678124
2020-21,2020-12-17,Sheffield United,Man United,1,2020-21,2,3,1.231995425772591,1.6377340922140573
2020-21,2020-12-19,Crystal Palace,Liverpool,1,2020-21,0,7,0.7834621472564814,3.128872481117015
2020-21,2020-12-19,Everton,Arsenal,1,2020-21,2,1,1.6348388400231524,0.9878253978070013
2020-21,2020-12-19,Newcastle,Fulham,1,2020-21,1,1,1.4084469798209984,0.7693811947796502
2020-21,2020-12-19,Southampton,Man City,1,2020-21,0,1,1.2881463812771867,1.3356283571630059
2020-21,2020-12-20,Brighton,Sheffield United,1,2020-21,1,1,1.3375212223444295,1.1188744869054175
2020-21,2020-12-20,Man United,Leeds,1,2020-21,6,2,1.8752808642804846,0.6232032332918317
2020-21,2020-12-20,Tottenham,Leicester,1,2020-21,0,2,1.8017483560886876,1.0386919878423628
2020-21,2020-12-20,West Brom,Aston Villa,1,2020-21,0,3,1.440088789967726,1.8950070815156541
2020-21,2020-12-21,Burnley,Wolves,1,2020-21,2,1,1.2363364414242342,1.176509992071212
2020-21,2020-12-21,Chelsea,West Ham,1,2020-21,3,0,1.8868366771753682,0.9066864078526666
2020-21,2020-12-26,Arsenal,Chelsea,1,2020-21,3,1,1.3125173505873986,1.2995093590730336
2020-21,2020-12-26,Aston Villa,Crystal Palace,1,2020-21,3,0,1.1552332050304022,0.9482597609064919
2020-21,2020-12-26,Fulham,Southampton,1,2020-21,0,0,1.025737571740571,1.9128508747492465
2020-21,2020-12-26,Leicester,Man United,1,2020-21,2,2,1.27188608634796,1.4988495182551134
2020-21,2020-12-26,Man City,Newcastle,1,2020-21,2,0,2.1172680599450504,0.8265862539952735
2020-21,2020-12-26,Sheffield United,Everton,1,2020-21,0,1,1.1253698159988104,1.447824144002396
2020-21,2020-12-27,Leeds,Burnley,1,2020-21,1,0,1.5238474862820237,1.077856733483411
2020-21,2020-12-27,Liverpool,West Brom,1,2020-21,1,1,3.6037525923715807,0.3921001430207573
2020-21,2020-12-27,West Ham,Brighton,1,2020-21,2,2,1.4755425959366095,0.9726409908265602
2020-21,2020-12-27,Wolves,Tottenham,1,2020-21,1,1,1.3974786810793707,1.279867431656407
2020-21,2020-12-28,Chelsea,Aston Villa,1,2020-21,1,1,2.410109197323496,0.9524397129266067
2020-21,2020-12-28,Crystal Palace,Leicester,1,2020-21,1,1,1.3175506058024944,1.588501472547599
2020-21,2020-12-29,Brighton,Arsenal,1,2020-21,0,1,1.4202425659120161,1.285140988109728
2020-21,2020-12-29,Burnley,Sheffield United,1,2020-21,1,0,1.3216590167254285,0.9411971438215125
2020-21,2020-12-29,Man United,Wolves,1,2020-21,1,0,2.0853023608200125,0.7235200770663686
2020-21,2020-12-29,Southampton,West Ham,1,2020-21,0,0,1.4530291248015912,0.9094413890309728
2020-21,2020-12-29,West Brom,Leeds,1,2020-21,0,5,1.2766585603326737,1.390929568013415
2020-21,2020-12-30,Newcastle,Liverpool,1,2020-21,0,0,0.5976878828599972,4.613752985480318
2020-21,2021-01-01,Everton,West Ham,1,2020-21,0,1,1.3215127010149978,0.8318587825118168
2020-21,2021-01-01,Man United,Aston Villa,1,2020-21,2,1,2.4883797912757695,0.6743108188472763
2020-21,2021-01-02,Brighton,Wolves,1,2020-21,3,3,1.21772860186919,1.451130495443891
2020-21,2021-01-02,Crystal Palace,Sheffield United,1,2020-21,2,0,1.6009991291803147,0.9572285077449284
2020-21,2021-01-02,Tottenham,Leeds,1,2020-21,3,0,1.4907850862339815,0.9599091206528066
2020-21,2021-01-02,West Brom,Arsenal,1,2020-21,0,4,1.0041397358678912,1.517025181301761
2020-21,2021-01-03,Chelsea,Man City,1,2020-21,1,3,1.8666319056434744,1.7675322261331738
2020-21,2021-01-03,Newcastle,Leicester,1,2020-21,1,2,1.0003876820558888,1.6142205531421217
2020-21,2021-01-04,Southampton,Liverpool,1,2020-21,1,0,0.7967831602780315,2.6813067474875827
2020-21,2021-01-12,Burnley,Man United,1,2020-21,0,1,0.796308704101863,2.367230827968355
2020-21,2021-01-12,Sheffield United,Newcastle,1,2020-21,1,0,1.5078577210214723,1.1367014744602122
2020-21,2021-01-12,Wolves,Everton,1,2020-21,1,2,1.7326811996709404,1.3344486504034474
2020-21,2021-01-13,Man City,Brighton,1,2020-21,1,0,2.1957699462149365,0.6458596580039331
2020-21,2021-01-13,Tottenham,Fulham,1,2020-21,1,1,2.6664036169527754,0.701498921890979
2020-21,2021-01-14,Arsenal,Crystal Palace,1,2020-21,0,0,2.121351535720648,0.8514839419971715
2020-21,2021-01-16,Fulham,Chelsea,1,2020-21,0,1,1.2663529468782917,1.1923598649404852
2020-21,2021-01-16,Leeds,Brighton,1,2020-21,0,1,1.2900321188707218,1.1383408278931402
2020-21,2021-01-16,Leicester,Southampton,1,2020-21,2,0,1.7859549718987011,1.0147586299201283
2020-21,2021-01-16,West Ham,Burnley,1,2020-21,1,0,1.5259970147658233,1.0100411209755522
2020-21,2021-01-16,Wolves,West Brom,1,2020-21,2,3,2.4173820139245628,0.7172629053098472
2020-21,2021-01-17,Liverpool,Man United,1,2020-21,0,0,1.9497922929101472,1.0851316390961687
2020-21,2021-01-17,Man City,Crystal Palace,1,2020-21,4,0,2.1543958141690163,0.7673297687509157
2020-21,2021-01-17,Sheffield United,Tottenham,1,2020-21,1,3,1.0757755412047154,1.8892305738731296
2020-21,2021-01-18,Arsenal,Newcastle,1,2020-21,3,0,2.032293663221004,1.010078014468115
2020-21,2021-01-19,Leicester,Chelsea,1,2020-21,2,0,1.789275512141383,0.8923920960051772
2020-21,2021-01-19,West Ham,West Brom,1,2020-21,2,1,2.014623727472032,0.6836272521238357
2020-21,2021-01-20,Fulham,Man United,1,2020-21,1,2,0.7570473364700993,2.4278966020958634
2020-21,2021-01-20,Man City,Aston Villa,1,2020-21,2,0,3.258365552714349,0.8357610813554227
2020-21,2021-01-21,Liverpool,Burnley,1,2020-21,0,1,2.997902579895204,0.5330794453860801
2020-21,2021-01-23,Aston Villa,Newcastle,1,2020-21,2,0,1.610404132966957,0.6981102189971837
2020-21,2021-01-26,Crystal Palace,West Ham,1,2020-21,2,3,1.4086437529954394,1.0427722702009228
