OfficialHomeTeam,OfficialAwayTeam,OutcomeCode,Outcome,ModelProbability,MarketProbability,QuotedDecimalOdds,ModelMinusMarket,ModelFairOdds,ModelExpectedReturn,QuotedToFairOddsRatio,DisagreementDirection
Arsenal,Coventry City,H,Arsenal,0.7061228364451766,0.8217203267617923,1.1666666667,-0.1155974903166157,1.4161841940055142,-0.1761900241237565,0.8238099758762436,Market higher
Arsenal,Coventry City,D,Draw,0.16820953207203226,0.12782316194437535,7.5,0.04038637012765692,5.944966302930863,0.261571490540242,1.261571490540242,Model higher
Arsenal,Coventry City,A,Coventry City,0.1256676314827911,0.05045651129383238,19.0,0.0752111201889587,7.957498587350553,1.3876849981730306,2.3876849981730306,Model higher
Hull City,Manchester United,H,Hull City,0.17943784588985973,0.130843653250774,7.4,0.04859419263908574,5.572960347583572,0.327840059584962,1.327840059584962,Model higher
Hull City,Manchester United,D,Draw,0.20788529170753275,0.21048761609907124,4.6,-0.0026023243915384853,4.81034512728716,-0.0437276581453494,0.9562723418546505,Market higher
Hull City,Manchester United,A,Manchester United,0.6126768624026077,0.6586687306501549,1.47,-0.045991868247547196,1.6321817606731672,-0.09936501226816674,0.9006349877318333,Market higher
Everton,Crystal Palace,H,Everton,0.3931988414458506,0.44851593990472693,2.15,-0.055317098458876335,2.543242488515102,-0.15462249089142122,0.8453775091085787,Market higher
Everton,Crystal Palace,D,Draw,0.24748231513493157,0.2678636863319897,3.6,-0.02038137119705813,4.040692764065921,-0.10906366551424629,0.8909363344857538,Market higher
Everton,Crystal Palace,A,Crystal Palace,0.3593188434192179,0.28362037376328325,3.4,0.07569846965593463,2.7830435790234866,0.22168406762534087,1.2216840676253409,Model higher
Ipswich Town,Sunderland,H,Ipswich Town,0.2759740544000232,0.3488555643251776,2.75,-0.07288150992515441,3.6235290385323844,-0.2410713503999362,0.7589286496000638,Market higher
Ipswich Town,Sunderland,D,Draw,0.24613129074108933,0.28216258879242306,3.4,-0.03603129805133373,4.062872286530691,-0.16315361148029628,0.8368463885197037,Market higher
Ipswich Town,Sunderland,A,Sunderland,0.47789465485888755,0.3689818468823994,2.6,0.10891280797648817,2.0925113721878295,0.2425261026331076,1.2425261026331078,Model higher
Nottingham Forest,Leeds United,H,Nottingham Forest,0.41958623988729427,0.4295302013422818,2.25,-0.009943961454987549,2.3833002728321397,-0.0559309602535879,0.9440690397464121,Market higher
Nottingham Forest,Leeds United,D,Draw,0.24659641371070312,0.2684563758389262,3.6,-0.021859962128223054,4.055209015217712,-0.1122529106414687,0.8877470893585313,Market higher
Nottingham Forest,Leeds United,A,Leeds United,0.3338173464020026,0.3020134228187919,3.2,0.031803923583210714,2.9956501984643444,0.06821550848640845,1.0682155084864084,Model higher
Brentford,Tottenham Hotspur,H,Brentford,0.4806340679475555,0.40598872253548507,2.35,0.07464534541207041,2.080584932878947,0.12949005967675542,1.1294900596767554,Model higher
Brentford,Tottenham Hotspur,D,Draw,0.2395178895224746,0.2650204160995528,3.6,-0.02550252657707819,4.175053487627559,-0.13773559771909138,0.8622644022809086,Market higher
Brentford,Tottenham Hotspur,A,Tottenham Hotspur,0.27984804252996986,0.3289908613649621,2.9,-0.04914281883499222,3.5733678569250906,-0.1884406766630874,0.8115593233369126,Market higher
Brighton & Hove Albion,Aston Villa,H,Brighton & Hove Albion,0.3403915926787279,0.4215976331360947,2.3,-0.08120604045736685,2.93779288768695,-0.2170993368389259,0.782900663161074,Market higher
Brighton & Hove Albion,Aston Villa,D,Draw,0.2413117149259849,0.2551775147928994,3.8,-0.013865799866914497,4.14401762594377,-0.08301548328125741,0.9169845167187427,Market higher
Brighton & Hove Albion,Aston Villa,A,Aston Villa,0.4182966923952872,0.3232248520710059,3.0,0.09507184032428134,2.3906476388175872,0.25489007718586176,1.2548900771858618,Model higher
Manchester City,AFC Bournemouth,H,Manchester City,0.5578474175285405,0.6678445229750233,1.4444444444,-0.10999710544648278,1.7926048746991612,-0.19422039692801252,0.8057796030719875,Market higher
Manchester City,AFC Bournemouth,D,Draw,0.21433354299879426,0.18374558303509342,5.25,0.03058795996370084,4.665625296016431,0.12525110074366985,1.1252511007436699,Model higher
Manchester City,AFC Bournemouth,A,AFC Bournemouth,0.22781903947266519,0.14840989398988316,6.5,0.07940914548278202,4.389448758605554,0.4808237565723237,1.480823756572324,Model higher
Newcastle United,Liverpool,H,Newcastle United,0.3061297681014825,0.28527763627101377,3.45,0.020852131830468745,3.2665885653710696,0.056147699950114704,1.0561476999501147,Model higher
Newcastle United,Liverpool,D,Draw,0.23789131040499098,0.24605196128374934,4.0,-0.008160650878758363,4.203600368157962,-0.04843475838003608,0.9515652416199639,Market higher
Newcastle United,Liverpool,A,Liverpool,0.4559789214935266,0.46867040244523683,2.1,-0.012691480951710243,2.193083830990632,-0.042444264863594094,0.957555735136406,Market higher
Fulham,Chelsea,H,Fulham,0.3640047931691679,0.3033381712626996,3.2,0.06066662190646832,2.747216571775359,0.1648153381413373,1.1648153381413373,Model higher
Fulham,Chelsea,D,Draw,0.24564690364961095,0.25544267053701014,3.8,-0.009795766887399193,4.070883797608917,-0.06654176613147844,0.9334582338685217,Market higher
Fulham,Chelsea,A,Chelsea,0.390348303181221,0.4412191582002903,2.2,-0.050870855019069294,2.5618146456646578,-0.1412337330013137,0.8587662669986862,Market higher
