Kickoff,OfficialHomeTeam,OfficialAwayTeam,ModelFavourite,Probability_H,Probability_D,Probability_A,HomeExpectedGoals,AwayExpectedGoals,FavouriteProbability,SecondHighestProbability,FavouriteProbabilityMargin,PredictiveEntropy,NormalisedEntropy,ExpectedTotalGoals,ExpectedGoalDifference,Confidence
2026-08-21 20:00:00,Arsenal,Coventry City,Arsenal,0.7061228364451766,0.16820953207203226,0.1256676314827911,2.4698778230622414,0.9510286681931842,0.7061228364451766,0.16820953207203226,0.5379133043731443,0.8061969056840859,0.7338320479388316,3.4209064912554257,1.518849154869057,Strong
2026-08-22 12:30:00,Hull City,Manchester United,Manchester United,0.17943784588985973,0.20788529170753275,0.6126768624026077,1.010234115156883,2.044849947555158,0.6126768624026077,0.20788529170753275,0.4047915706950749,0.9349619408952226,0.8510390340059941,3.055084062712041,-1.034615832398275,Strong
2026-08-22 15:00:00,Everton,Crystal Palace,Everton,0.3931988414458506,0.24748231513493157,0.3593188434192179,1.4887342548619722,1.4128248462912851,0.3931988414458506,0.3593188434192179,0.03387999802663272,1.0803948215149017,0.983417746787364,2.901559101153257,0.07590940857068706,Low
2026-08-22 15:00:00,Ipswich Town,Sunderland,Sunderland,0.2759740544000232,0.24613129074108933,0.47789465485888755,1.1712370886215957,1.619442998766754,0.47789465485888755,0.2759740544000232,0.20192060045886434,1.0532120683448023,0.9586749385642246,2.79068008738835,-0.4482059101451583,Moderate
2026-08-22 15:00:00,Nottingham Forest,Leeds United,Nottingham Forest,0.41958623988729427,0.24659641371070312,0.3338173464020026,1.545059640525012,1.352762407306895,0.41958623988729427,0.3338173464020026,0.08576889348529165,1.0758918615940072,0.9793189760314374,2.897822047831907,0.1922972332181172,Low
2026-08-22 17:30:00,Brentford,Tottenham Hotspur,Brentford,0.4806340679475555,0.2395178895224746,0.27984804252996986,1.6908616873126456,1.2356609646386607,0.4806340679475555,0.27984804252996986,0.2007860254175856,1.0508264961509632,0.956503497175442,2.9265226519513066,0.4552007226739849,Moderate
2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,Aston Villa,0.3403915926787279,0.2413117149259849,0.4182966923952872,1.4183219142638663,1.596047166181201,0.4182966923952872,0.3403915926787279,0.07790509971655935,1.074462990093282,0.9780183611416682,3.0143690804450674,-0.17772525191733468,Low
2026-08-23 14:00:00,Manchester City,AFC Bournemouth,Manchester City,0.5578474175285405,0.21433354299879426,0.22781903947266519,2.0187815688172557,1.223374728556225,0.5578474175285405,0.22781903947266519,0.3300283780558753,0.9927106547020457,0.9036041786002114,3.242156297373481,0.7954068402610306,Moderate
2026-08-23 16:30:00,Newcastle United,Liverpool,Liverpool,0.3061297681014825,0.23789131040499098,0.4559789214935266,1.3423624351161538,1.686076526593769,0.4559789214935266,0.3061297681014825,0.14984915339204408,1.0620621366064573,0.9667306178543081,3.0284389617099228,-0.3437140914776151,Moderate
2026-08-24 20:00:00,Fulham,Chelsea,Chelsea,0.3640047931691679,0.24564690364961095,0.390348303181221,1.4408822340134677,1.5002580302341202,0.390348303181221,0.3640047931691679,0.026343510012053095,1.0799196945454177,0.9829852675821114,2.941140264247588,-0.05937579622065248,Low
