Model,Split,Side,Fixtures,ActualMean,PredictedMean,MeanAbsoluteError,MeanPoissonDeviance
Tuned Independent Poisson,Train,Home,3040,1.5256578947368422,1.5256070179159098,0.9542106214318874,1.1102340498163874
Tuned Independent Poisson,Train,Away,3040,1.2351973684210527,1.2351974121293336,0.8866158743463795,1.174175633214698
Tuned Independent Poisson,Validation,Home,380,1.8,1.6430898545323618,1.0389694861206298,1.1088855129776571
Tuned Independent Poisson,Validation,Away,380,1.4789473684210526,1.2801086977817087,0.9215336132319366,1.1228903408282098
Tuned Independent Poisson,Test,Home,380,1.513157894736842,1.64240873349972,0.9896464574183503,1.1633101439420899
Tuned Independent Poisson,Test,Away,380,1.4210526315789473,1.271678493918245,0.8773514664732711,1.0448875522996888
