Model,Split,Fixtures,LogLoss,BrierScore,Accuracy
Tuned Independent Poisson,Train,3040,0.9681525462817429,0.5744311095624444,0.5391447368421053
Tuned Independent Poisson,Validation,380,0.9206752768127688,0.5433737506170617,0.5842105263157895
Tuned Independent Poisson,Test,380,0.9902980294816494,0.5935148232260132,0.5184210526315789
