HomeAlpha,AwayAlpha,ValidationLogLoss,ValidationBrierScore,ValidationAccuracy,HomeGoalMAE,AwayGoalMAE,MeanPredictedHomeGoals,MeanPredictedAwayGoals
0.0,0.001,0.9206752768127688,0.5433737506170617,0.5842105263157895,1.0389694861206298,0.9215336132319366,1.6430898545323618,1.2801086977817087
0.0,0.01,0.9209571331479868,0.5435567394589665,0.5789473684210527,1.0389694861206298,0.9216225330830531,1.6430898545323618,1.2805722478278554
0.0,0.1,0.9219461461049488,0.544335296123562,0.5815789473684211,1.0389694861206298,0.9206116846012556,1.6430898545323618,1.2802533430180412
0.1,0.001,0.923324676616081,0.5443435017305164,0.5868421052631579,1.0280298413509374,0.9215336132319366,1.6266205869861616,1.2801086977817087
0.1,0.01,0.9237091429903336,0.5446655932284364,0.5868421052631579,1.0280298413509374,0.9216225330830531,1.6266205869861616,1.2805722478278554
0.01,0.001,0.9239057942103418,0.5447475154093113,0.5842105263157895,1.0339479589303828,0.9215336132319366,1.635896644057379,1.2801086977817087
0.01,0.01,0.9242689834290593,0.5450356228799409,0.5815789473684211,1.0339479589303828,0.9216225330830531,1.635896644057379,1.2805722478278554
0.001,0.001,0.9247218829765951,0.5452386354550106,0.5842105263157895,1.0362178609288806,0.9215336132319366,1.6381372996735475,1.2801086977817087
0.1,0.1,0.9248082581031636,0.5455665072811842,0.5842105263157895,1.0280298413509374,0.9206116846012556,1.6266205869861616,1.2802533430180412
0.001,0.01,0.9250646251772371,0.545500948917968,0.5815789473684211,1.0362178609288806,0.9216225330830531,1.6381372996735475,1.2805722478278554
0.01,0.1,0.925161206471531,0.5458242387593878,0.5815789473684211,1.0339479589303828,0.9206116846012556,1.635896644057379,1.2802533430180412
0.001,0.1,0.9258684264723445,0.5462377443309367,0.5815789473684211,1.0362178609288806,0.9206116846012556,1.6381372996735475,1.2802533430180412
1.0,0.001,0.9269895862968197,0.5466731443931748,0.5947368421052631,1.0273260051091133,0.9215336132319366,1.588322927491855,1.2801086977817087
0.0,1.0,0.9270369827340796,0.547648286413162,0.5868421052631579,1.0389694861206298,0.9168630768634543,1.6430898545323618,1.2608132038372333
1.0,0.01,0.9273960365843054,0.547022198540788,0.5894736842105263,1.0273260051091133,0.9216225330830531,1.588322927491855,1.2805722478278554
1.0,0.1,0.9288726574682845,0.5481683598776801,0.5894736842105263,1.0273260051091133,0.9206116846012556,1.588322927491855,1.2802533430180412
0.1,1.0,0.9301002080663708,0.5490156798405417,0.5868421052631579,1.0280298413509374,0.9168630768634543,1.6266205869861616,1.2608132038372333
0.01,1.0,0.9301460908850674,0.5490765026664013,0.5868421052631579,1.0339479589303828,0.9168630768634543,1.635896644057379,1.2608132038372333
