StrategyNumber,Strategy,InitialBankroll,FinalBankroll,NetProfit,TotalStaked,BettingROI,BankrollReturn,AverageStake,MedianStake,MaximumStake,AverageAppliedStakeFraction,MaximumAppliedStakeFraction,MaximumDailyExposureFraction,MinimumBankroll,MaximumDrawdownUnits,MaximumDrawdownPercentage,PerBetCapBindingPercentage,DailyCapBindingPercentage,ProfitableDays,LosingDays
1,Flat stake,100.0,111.6,11.599999999999998,180.0,0.06444444444444443,0.11599999999999998,1.0,1.0,1.0,0.009882678803825642,0.01167815018101133,0.04929994084007099,85.63,26.379999999999995,0.23551468618873314,,,32,109
2,Quarter Kelly,100.0,114.04423162408831,14.044231624088251,353.3931282010052,0.03974109993474487,0.14044231624088252,1.9632951566722512,2.0013593527062947,2.6534961357666753,0.018895177574254966,0.020000000000000004,0.09714354455238716,79.30778727891051,53.36701950942326,0.40223928567360745,0.8166666666666667,0.0,32,109
3,Half Kelly,100.0,96.71985169058833,-3.2801483094116506,647.1289914275342,-0.005068770450502932,-0.032801483094116506,3.595161063486301,3.4602096223565955,6.449186863446348,0.03779035514850993,0.04000000000000001,0.19428708910477432,54.353801264866114,106.87587032129258,0.6628796627187802,0.8166666666666667,0.0,32,109
