ObjectName,Rows,Columns,ExportType,File
primary_market_coverage,1,12,Supporting,outputs\bookmaker_comparison\supporting_tables\primary_market_coverage.csv
remaining_bets,143,26,Supporting,outputs\bookmaker_comparison\supporting_tables\remaining_bets.csv
same_period_hindsight_bets,180,21,Supporting,outputs\bookmaker_comparison\supporting_tables\same_period_hindsight_bets.csv
season_bets,37,25,Supporting,outputs\bookmaker_comparison\supporting_tables\season_bets.csv
season_daily_bets,27,4,Supporting,outputs\bookmaker_comparison\supporting_tables\season_daily_bets.csv
seasonal_roi_pivot,7,5,Supporting,outputs\bookmaker_comparison\supporting_tables\seasonal_roi_pivot.csv
selected_strategy_folds,4,16,Supporting,outputs\bookmaker_comparison\supporting_tables\selected_strategy_folds.csv
staking_strategy_configuration,3,5,Supporting,outputs\bookmaker_comparison\supporting_tables\staking_strategy_configuration.csv
strategy_bets,180,22,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_bets.csv
strategy_daily,141,15,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_daily.csv
strategy_daily_performance,141,7,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_daily_performance.csv
strategy_group,264,21,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_group.csv
strategy_selection_rankings,28,16,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_selection_rankings.csv
strategy_specification,5,1,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_specification.csv
strategy_visual_data,180,25,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_visual_data.csv
strategy_visual_diagnostics_summary,1,11,Supporting,outputs\bookmaker_comparison\supporting_tables\strategy_visual_diagnostics_summary.csv
