OverallRank,Forecast,Fixtures,LogLoss,BrierScore,Accuracy,MeanObservedOutcomeProbability,MeanMaximumProbability
1,Pinnacle Closing,1900,0.952379490945397,0.5637174201501969,0.5594736842105263,0.43278810967252934,0.5459044572084414
2,Independent Poisson,1900,0.9850017226023103,0.585180855767167,0.5357894736842105,0.4264111246306552,0.5556700166036425
