Season,Forecast,Fixtures,LogLoss,BrierScore,Accuracy,MeanObservedOutcomeProbability,MeanMaximumProbability
2020-21,Independent Poisson,380,1.0654909613520158,0.6303052295437402,0.49473684210526314,0.40242588369563664,0.5520696931727174
2020-21,Pinnacle Closing,380,0.9970524404582166,0.5921429620134057,0.5157894736842106,0.41312539630339773,0.5338647452210675
2021-22,Independent Poisson,380,0.9659254725450744,0.5749441563754937,0.55,0.432973643487056,0.5557879554429438
2021-22,Pinnacle Closing,380,0.9367318735070141,0.5543338683202054,0.5842105263157895,0.4393817805585739,0.5464856895829243
2022-23,Independent Poisson,380,0.9796753711712658,0.5827400418087424,0.5473684210526316,0.4244007883707153,0.5475038465230304
2022-23,Pinnacle Closing,380,0.9621515116115859,0.5711831301752477,0.5473684210526316,0.4257193453609692,0.5384523019228056
2023-24,Independent Poisson,380,0.924723928838175,0.5452391749425416,0.5842105263157895,0.44907607613720846,0.56308648110696
2023-24,Pinnacle Closing,380,0.8995495263878559,0.5258478380749722,0.5973684210526315,0.4584154693945883,0.5622604505939306
2024-25,Independent Poisson,380,0.9891928791050212,0.5926756761653172,0.5026315789473684,0.4231792314626595,0.5599021067725612
2024-25,Pinnacle Closing,380,0.9664121027623124,0.5750793021671528,0.5526315789473685,0.4272985567451174,0.5484590987214792
