Model,MacroExpectedCalibrationError,MacroMaximumCalibrationError,WorstOutcomeCalibrationError
Independent Poisson,0.02111254501529782,0.3563883695186156,0.025515508450783368
Tuned Random Forest,0.027681643057630767,0.5878958277698378,0.03137570461056962
Tuned Histogram Gradient Boosting,0.02823689826602403,0.196053234161622,0.03212075879157861
Tuned Logistic Regression,0.030027621748544165,0.14448162489802172,0.032048318412331016
Direct Probability Ensemble,0.031305165871963817,0.440396483715552,0.03563010045191754
