Model,LowestECEMethod,MacroExpectedCalibrationError,WorstOutcomeExpectedCalibrationError,LogLoss,LogLossChange,BrierScore
Direct Probability Ensemble,Original,0.02286201622660752,0.03158561236525573,0.9689015422843559,0.0,0.5755920257072487
Independent Poisson,Original,0.01540649438532538,0.023485478923520063,0.964879412914884,0.0,0.5738997623230238
Tuned Random Forest,Original,0.019853230649448772,0.029341495921517746,0.9710971406886705,0.0,0.5763999813118129
