Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-08-21,Leeds,Everton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-21,Liverpool,Burnley,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-08-21,Man City,Norwich,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-08-22,Arsenal,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-22,Southampton,Man United,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.044566074801987314,0.22113730404017856,0.7342966211578342
2021-22,2021-08-22,Wolves,Tottenham,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-08-23,West Ham,Leicester,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-28,Aston Villa,Brentford,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-28,Brighton,Everton,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-28,Liverpool,Chelsea,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-08-28,Man City,Arsenal,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-08-28,Newcastle,Southampton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-08-28,Norwich,Leicester,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
