BaselineRank,Model,Fixtures,LogLoss,BrierScore,Accuracy,MeanMaximumProbability
1,Independent Poisson,1900,0.9850017226023103,0.585180855767167,0.5357894736842105,0.5556700166036425
2,Direct Probability Ensemble,1900,0.9879567511522512,0.5863199261905818,0.5394736842105263,0.5549702250466751
3,Tuned Random Forest,1900,0.9882759353078341,0.5863731346363533,0.5389473684210526,0.5557944906779243
4,Tuned Histogram Gradient Boosting,1900,0.9944091885516179,0.5893689236301091,0.54,0.5575013637073785
5,Tuned Logistic Regression,1900,0.9945232430930022,0.5900338074794351,0.5278947368421053,0.5569644729528511
