Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-09-21,Liverpool,Bournemouth,5,2024-25,Tuned Random Forest,H,H,0.7945223523554467,0.1220544109942349,0.0834232366503179
2024-25,2024-09-21,Southampton,Ipswich,5,2024-25,Tuned Random Forest,D,A,0.2582481922842377,0.2266725644034013,0.5150792433123608
2024-25,2024-09-21,Tottenham,Brentford,5,2024-25,Tuned Random Forest,H,H,0.5199203814084452,0.2566240677409163,0.2234555508506391
2024-25,2024-09-21,West Ham,Chelsea,5,2024-25,Tuned Random Forest,A,A,0.2471515886014846,0.2249727063479316,0.5278757050505833
2024-25,2024-09-22,Brighton,Nott'm Forest,5,2024-25,Tuned Random Forest,D,H,0.4963197091926289,0.264053309609542,0.2396269811978292
2024-25,2024-09-22,Man City,Arsenal,5,2024-25,Tuned Random Forest,D,H,0.5259034994669024,0.2542312001083133,0.2198653004247844
2024-25,2024-09-28,Arsenal,Leicester,5,2024-25,Tuned Random Forest,H,H,0.7978195267098122,0.1145094545428038,0.0876710187473836
2024-25,2024-09-28,Brentford,West Ham,5,2024-25,Tuned Random Forest,D,H,0.4067754839865031,0.267470651934293,0.3257538640792036
2024-25,2024-09-28,Chelsea,Brighton,5,2024-25,Tuned Random Forest,H,H,0.519643855767957,0.2745304555291697,0.2058256887028735
2024-25,2024-09-28,Everton,Crystal Palace,5,2024-25,Tuned Random Forest,H,H,0.383016237540222,0.282818215448078,0.3341655470116997
2024-25,2024-09-28,Newcastle,Man City,5,2024-25,Tuned Random Forest,D,A,0.1968460596078884,0.2135093551164184,0.5896445852756927
2024-25,2024-09-28,Nott'm Forest,Fulham,5,2024-25,Tuned Random Forest,A,H,0.3647900108889579,0.2898298125392876,0.3453801765717542
2024-25,2024-09-28,Wolves,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.14010383915554,0.1778237231494624,0.6820724376949983
2024-25,2024-09-29,Ipswich,Aston Villa,5,2024-25,Tuned Random Forest,D,A,0.2306566585900424,0.2291239531767985,0.5402193882331588
2024-25,2024-09-29,Man United,Tottenham,5,2024-25,Tuned Random Forest,A,H,0.4128532311416085,0.2858393029195695,0.3013074659388216
