Model,CalibrationMethod,EvaluationSeason,Outcome,PredictedProbability,ObservedIndicator,CalibrationBin
Independent Poisson,Original,2021-22,H,0.2621283774961498,0,2
Independent Poisson,Original,2021-22,H,0.49444404442482,1,4
Independent Poisson,Original,2021-22,H,0.3431037780054051,1,3
Independent Poisson,Original,2021-22,H,0.4238263515921183,0,4
Independent Poisson,Original,2021-22,H,0.8333317242423339,0,8
Independent Poisson,Original,2021-22,H,0.825987294308756,0,8
Independent Poisson,Original,2021-22,H,0.1130847908784875,0,1
Independent Poisson,Original,2021-22,H,0.4257907440117031,0,4
Independent Poisson,Original,2021-22,H,0.3810673383049923,0,3
Independent Poisson,Original,2021-22,H,0.2795844644862746,0,2
Independent Poisson,Original,2021-22,H,0.2466133430267177,0,2
Independent Poisson,Original,2021-22,H,0.4520089327385332,1,4
Independent Poisson,Original,2021-22,H,0.4444025743169238,1,4
Independent Poisson,Original,2021-22,H,0.6925835393934092,0,6
Independent Poisson,Original,2021-22,H,0.5139034121596582,0,5
Independent Poisson,Original,2021-22,H,0.760074820648528,0,7
Independent Poisson,Original,2021-22,H,0.41909207577576,1,4
Independent Poisson,Original,2021-22,H,0.3536990985258847,0,3
Independent Poisson,Original,2021-22,H,0.6607827762436912,1,6
Independent Poisson,Original,2021-22,H,0.4709611043323484,0,4
Independent Poisson,Original,2021-22,H,0.3362676429795879,0,3
Independent Poisson,Original,2021-22,H,0.2509961057766791,1,2
Independent Poisson,Original,2021-22,H,0.3830340630909877,1,3
Independent Poisson,Original,2021-22,H,0.3481069710047023,0,3
Independent Poisson,Original,2021-22,H,0.1902474037091819,0,1
Independent Poisson,Original,2021-22,H,0.7110633689008685,1,7
Independent Poisson,Original,2021-22,H,0.4571100406298481,0,4
Independent Poisson,Original,2021-22,H,0.2448501855678042,1,2
Independent Poisson,Original,2021-22,H,0.2297892920135382,1,2
Independent Poisson,Original,2021-22,H,0.2549907219765744,1,2
Independent Poisson,Original,2021-22,H,0.7932438159546342,1,7
Independent Poisson,Original,2021-22,H,0.3939912555762329,1,3
Independent Poisson,Original,2021-22,H,0.5504202703819414,1,5
Independent Poisson,Original,2021-22,H,0.413184791891169,0,4
Independent Poisson,Original,2021-22,H,0.4984413949919181,0,4
Independent Poisson,Original,2021-22,H,0.8262046108460591,1,8
Independent Poisson,Original,2021-22,H,0.2139739532398826,0,2
Independent Poisson,Original,2021-22,H,0.4609367764054928,1,4
Independent Poisson,Original,2021-22,H,0.7120315817818667,0,7
Independent Poisson,Original,2021-22,H,0.6126739996010218,1,6
Independent Poisson,Original,2021-22,H,0.629540820195633,1,6
Independent Poisson,Original,2021-22,H,0.3410713361653051,1,3
Independent Poisson,Original,2021-22,H,0.6820367938954962,0,6
Independent Poisson,Original,2021-22,H,0.0762540979273394,0,0
Independent Poisson,Original,2021-22,H,0.1497034877847496,0,1
Independent Poisson,Original,2021-22,H,0.2117400927183588,0,2
Independent Poisson,Original,2021-22,H,0.0849083130260059,0,0
Independent Poisson,Original,2021-22,H,0.6868988476216447,0,6
Independent Poisson,Original,2021-22,H,0.4254358072746929,0,4
Independent Poisson,Original,2021-22,H,0.4794720125785035,1,4
Independent Poisson,Original,2021-22,H,0.4278200171949653,1,4
Independent Poisson,Original,2021-22,H,0.3383107425602331,1,3
Independent Poisson,Original,2021-22,H,0.316282013229958,0,3
Independent Poisson,Original,2021-22,H,0.0877751749773251,0,0
Independent Poisson,Original,2021-22,H,0.3366063049850156,1,3
Independent Poisson,Original,2021-22,H,0.0931763853401854,0,0
Independent Poisson,Original,2021-22,H,0.3219578372927364,1,3
Independent Poisson,Original,2021-22,H,0.301572280560892,0,3
Independent Poisson,Original,2021-22,H,0.6268026604687792,1,6
Independent Poisson,Original,2021-22,H,0.6746349105753199,1,6
Independent Poisson,Original,2021-22,H,0.3377262070109464,1,3
Independent Poisson,Original,2021-22,H,0.5400477901805988,1,5
Independent Poisson,Original,2021-22,H,0.540899980031821,1,5
Independent Poisson,Original,2021-22,H,0.7586787956613925,1,7
Independent Poisson,Original,2021-22,H,0.8484256334704455,1,8
Independent Poisson,Original,2021-22,H,0.7668730295637987,1,7
Independent Poisson,Original,2021-22,H,0.1430869716683644,0,1
Independent Poisson,Original,2021-22,H,0.3487897943033929,0,3
Independent Poisson,Original,2021-22,H,0.483548260176399,1,4
Independent Poisson,Original,2021-22,H,0.6171050641806888,1,6
Independent Poisson,Original,2021-22,H,0.7705455886735,1,7
Independent Poisson,Original,2021-22,H,0.2396529064689632,0,2
Independent Poisson,Original,2021-22,H,0.3178027974396475,1,3
Independent Poisson,Original,2021-22,H,0.4667168085969227,0,4
Independent Poisson,Original,2021-22,H,0.6263328116966854,0,6
Independent Poisson,Original,2021-22,H,0.8329650168152651,0,8
Independent Poisson,Original,2021-22,H,0.8720727723115003,1,8
Independent Poisson,Original,2021-22,H,0.1592211129933324,0,1
Independent Poisson,Original,2021-22,H,0.1014206413761399,0,1
Independent Poisson,Original,2021-22,H,0.1709154276708187,0,1
Independent Poisson,Original,2021-22,H,0.1610312311829148,0,1
Independent Poisson,Original,2021-22,H,0.2545535168101125,0,2
Independent Poisson,Original,2021-22,H,0.3944126530760813,1,3
Independent Poisson,Original,2021-22,H,0.685716221375084,1,6
Independent Poisson,Original,2021-22,H,0.1185034600697996,0,1
Independent Poisson,Original,2021-22,H,0.4885026121980509,1,4
Independent Poisson,Original,2021-22,H,0.6508147545314416,0,6
Independent Poisson,Original,2021-22,H,0.1988822637106851,0,1
Independent Poisson,Original,2021-22,H,0.6766494625718326,1,6
Independent Poisson,Original,2021-22,H,0.3190810435649298,1,3
Independent Poisson,Original,2021-22,H,0.2455093378023604,0,2
Independent Poisson,Original,2021-22,H,0.2962403510406923,0,2
Independent Poisson,Original,2021-22,H,0.0729293888547815,0,0
Independent Poisson,Original,2021-22,H,0.7656005502675141,0,7
Independent Poisson,Original,2021-22,H,0.670707691341751,1,6
Independent Poisson,Original,2021-22,H,0.1154873653187429,0,1
Independent Poisson,Original,2021-22,H,0.3633256188054026,0,3
Independent Poisson,Original,2021-22,H,0.2025660544015416,0,2
Independent Poisson,Original,2021-22,H,0.366652535840393,1,3
Independent Poisson,Original,2021-22,H,0.5359782588182136,0,5
Independent Poisson,Original,2021-22,H,0.3947406330457811,0,3
Independent Poisson,Original,2021-22,H,0.4028270706441692,1,4
Independent Poisson,Original,2021-22,H,0.5151707874388336,0,5
Independent Poisson,Original,2021-22,H,0.4944044142709536,1,4
Independent Poisson,Original,2021-22,H,0.835172230903409,1,8
Independent Poisson,Original,2021-22,H,0.4584795468104361,0,4
Independent Poisson,Original,2021-22,H,0.2842092230080296,0,2
Independent Poisson,Original,2021-22,H,0.7164261062941915,1,7
Independent Poisson,Original,2021-22,H,0.5726004373903746,0,5
Independent Poisson,Original,2021-22,H,0.2765157656610459,1,2
Independent Poisson,Original,2021-22,H,0.3919590210696169,1,3
Independent Poisson,Original,2021-22,H,0.8661453663219975,1,8
Independent Poisson,Original,2021-22,H,0.6692973073310632,0,6
Independent Poisson,Original,2021-22,H,0.2213885390983732,0,2
Independent Poisson,Original,2021-22,H,0.2457915230758414,0,2
Independent Poisson,Original,2021-22,H,0.3430725961036729,0,3
Independent Poisson,Original,2021-22,H,0.6301480710609395,0,6
Independent Poisson,Original,2021-22,H,0.3542377703314471,0,3
Independent Poisson,Original,2021-22,H,0.4890065268824705,0,4
Independent Poisson,Original,2021-22,H,0.6047324901678703,0,6
Independent Poisson,Original,2021-22,H,0.4791307850302459,1,4
Independent Poisson,Original,2021-22,H,0.1179460193605303,0,1
Independent Poisson,Original,2021-22,H,0.5713933044040207,0,5
Independent Poisson,Original,2021-22,H,0.672398467711953,1,6
Independent Poisson,Original,2021-22,H,0.1848875964957592,0,1
Independent Poisson,Original,2021-22,H,0.4773415323085011,0,4
Independent Poisson,Original,2021-22,H,0.618686156183794,0,6
Independent Poisson,Original,2021-22,H,0.2895020157825475,0,2
Independent Poisson,Original,2021-22,H,0.4089619416098932,1,4
Independent Poisson,Original,2021-22,H,0.6990078216019214,1,6
Independent Poisson,Original,2021-22,H,0.5131575055804856,0,5
Independent Poisson,Original,2021-22,H,0.9117240090796944,1,9
Independent Poisson,Original,2021-22,H,0.2311892662667122,0,2
Independent Poisson,Original,2021-22,H,0.4792069498049556,0,4
Independent Poisson,Original,2021-22,H,0.7404211676122994,1,7
Independent Poisson,Original,2021-22,H,0.3072515237633063,0,3
Independent Poisson,Original,2021-22,H,0.3636699641694061,0,3
Independent Poisson,Original,2021-22,H,0.2823507573739505,1,2
Independent Poisson,Original,2021-22,H,0.4269310551119757,0,4
Independent Poisson,Original,2021-22,H,0.0693382464608481,0,0
Independent Poisson,Original,2021-22,H,0.2596336415049884,0,2
Independent Poisson,Original,2021-22,H,0.1217349542942724,0,1
Independent Poisson,Original,2021-22,H,0.5032420637428459,0,5
Independent Poisson,Original,2021-22,H,0.347721344547792,1,3
Independent Poisson,Original,2021-22,H,0.4221265758699967,0,4
Independent Poisson,Original,2021-22,H,0.4903455415929271,1,4
Independent Poisson,Original,2021-22,H,0.6371776515786214,1,6
Independent Poisson,Original,2021-22,H,0.6886815133658964,0,6
Independent Poisson,Original,2021-22,H,0.5206628419471904,0,5
Independent Poisson,Original,2021-22,H,0.259349975190943,0,2
Independent Poisson,Original,2021-22,H,0.9145929456061304,1,9
Independent Poisson,Original,2021-22,H,0.8122499019239344,0,8
Independent Poisson,Original,2021-22,H,0.4871690969460165,1,4
Independent Poisson,Original,2021-22,H,0.5703186489107152,0,5
Independent Poisson,Original,2021-22,H,0.2483530230198226,0,2
Independent Poisson,Original,2021-22,H,0.3818407442727852,1,3
Independent Poisson,Original,2021-22,H,0.3780089944577121,1,3
Independent Poisson,Original,2021-22,H,0.7166359082802991,1,7
Independent Poisson,Original,2021-22,H,0.3606936594786863,0,3
Independent Poisson,Original,2021-22,H,0.4841667202118843,1,4
Independent Poisson,Original,2021-22,H,0.6781538770473234,1,6
Independent Poisson,Original,2021-22,H,0.3673137257727612,0,3
Independent Poisson,Original,2021-22,H,0.4752391102416447,0,4
Independent Poisson,Original,2021-22,H,0.5207500387497852,0,5
Independent Poisson,Original,2021-22,H,0.145066023228205,0,1
Independent Poisson,Original,2021-22,H,0.3898842029355074,0,3
Independent Poisson,Original,2021-22,H,0.7086900724910479,0,7
Independent Poisson,Original,2021-22,H,0.4508224221729902,1,4
Independent Poisson,Original,2021-22,H,0.4253532780177578,0,4
Independent Poisson,Original,2021-22,H,0.4030958432155544,1,4
Independent Poisson,Original,2021-22,H,0.1772955482976612,0,1
Independent Poisson,Original,2021-22,H,0.6231881990141199,1,6
Independent Poisson,Original,2021-22,H,0.8227672319009717,1,8
Independent Poisson,Original,2021-22,H,0.396144432125726,1,3
Independent Poisson,Original,2021-22,H,0.3066749132364821,0,3
Independent Poisson,Original,2021-22,H,0.4014936710240434,0,4
Independent Poisson,Original,2021-22,H,0.7408106731429341,1,7
Independent Poisson,Original,2021-22,H,0.2854252388424826,0,2
Independent Poisson,Original,2021-22,H,0.5986933707005846,1,5
Independent Poisson,Original,2021-22,H,0.333054995356661,0,3
Independent Poisson,Original,2021-22,H,0.0619078487586099,0,0
Independent Poisson,Original,2021-22,H,0.3800338530266272,0,3
Independent Poisson,Original,2021-22,H,0.5625597348812785,1,5
Independent Poisson,Original,2021-22,H,0.427246933131715,1,4
Independent Poisson,Original,2021-22,H,0.0948328026078573,0,0
Independent Poisson,Original,2021-22,H,0.406379686405987,1,4
Independent Poisson,Original,2021-22,H,0.5533941025286513,1,5
Independent Poisson,Original,2021-22,H,0.7742039749297538,1,7
Independent Poisson,Original,2021-22,H,0.2971040744241877,0,2
Independent Poisson,Original,2021-22,H,0.6797197958932792,1,6
Independent Poisson,Original,2021-22,H,0.5594565748725036,0,5
Independent Poisson,Original,2021-22,H,0.3907486044698567,1,3
Independent Poisson,Original,2021-22,H,0.1596832261959826,0,1
Independent Poisson,Original,2021-22,H,0.3316367191299652,0,3
Independent Poisson,Original,2021-22,H,0.2674658193606145,0,2
Independent Poisson,Original,2021-22,H,0.3492299318665619,1,3
Independent Poisson,Original,2021-22,H,0.6032187050840957,0,6
Independent Poisson,Original,2021-22,H,0.2981802958131474,0,2
Independent Poisson,Original,2021-22,H,0.5528151205866247,1,5
Independent Poisson,Original,2021-22,H,0.5255958536372654,1,5
Independent Poisson,Original,2021-22,H,0.6873421694823474,0,6
Independent Poisson,Original,2021-22,H,0.1214281834158371,0,1
Independent Poisson,Original,2021-22,H,0.7952251451765494,0,7
Independent Poisson,Original,2021-22,H,0.308031427407504,0,3
Independent Poisson,Original,2021-22,H,0.9015312200056722,1,9
Independent Poisson,Original,2021-22,H,0.5674870129868691,0,5
Independent Poisson,Original,2021-22,H,0.4173641153165182,1,4
Independent Poisson,Original,2021-22,H,0.5973987676572327,1,5
Independent Poisson,Original,2021-22,H,0.5827395590136112,1,5
Independent Poisson,Original,2021-22,H,0.4224182729213933,1,4
Independent Poisson,Original,2021-22,H,0.4079358364905043,1,4
Independent Poisson,Original,2021-22,H,0.3005959634054583,1,3
Independent Poisson,Original,2021-22,H,0.6066323778978636,0,6
Independent Poisson,Original,2021-22,H,0.2436975294306097,0,2
Independent Poisson,Original,2021-22,H,0.2481137092083033,1,2
Independent Poisson,Original,2021-22,H,0.2054168522289028,0,2
Independent Poisson,Original,2021-22,H,0.363642408700442,0,3
Independent Poisson,Original,2021-22,H,0.3462816241222235,1,3
Independent Poisson,Original,2021-22,H,0.3806363765754241,1,3
Independent Poisson,Original,2021-22,H,0.540652997852153,0,5
Independent Poisson,Original,2021-22,H,0.3290907609407129,1,3
Independent Poisson,Original,2021-22,H,0.7868150663503662,1,7
Independent Poisson,Original,2021-22,H,0.359053416594653,1,3
Independent Poisson,Original,2021-22,H,0.7201710036101021,0,7
Independent Poisson,Original,2021-22,H,0.310234279116819,0,3
Independent Poisson,Original,2021-22,H,0.2608807145413654,1,2
Independent Poisson,Original,2021-22,H,0.5849322455947286,0,5
Independent Poisson,Original,2021-22,H,0.7382432689171422,1,7
Independent Poisson,Original,2021-22,H,0.7746416112192459,0,7
Independent Poisson,Original,2021-22,H,0.2254215127241287,0,2
Independent Poisson,Original,2021-22,H,0.8992566654660817,1,8
Independent Poisson,Original,2021-22,H,0.3141007650379736,1,3
Independent Poisson,Original,2021-22,H,0.4224666879317307,1,4
Independent Poisson,Original,2021-22,H,0.5509766861042518,1,5
Independent Poisson,Original,2021-22,H,0.1944008049649882,0,1
Independent Poisson,Original,2021-22,H,0.6161053496597131,0,6
Independent Poisson,Original,2021-22,H,0.9698250074668404,1,9
Independent Poisson,Original,2021-22,H,0.1974002784348573,0,1
Independent Poisson,Original,2021-22,H,0.4010856801273655,0,4
Independent Poisson,Original,2021-22,H,0.403486548220781,1,4
Independent Poisson,Original,2021-22,H,0.7782294203934118,1,7
Independent Poisson,Original,2021-22,H,0.8818262712465115,1,8
Independent Poisson,Original,2021-22,H,0.449492945465566,0,4
Independent Poisson,Original,2021-22,H,0.3127848615805266,0,3
Independent Poisson,Original,2021-22,H,0.6754586677735677,1,6
Independent Poisson,Original,2021-22,H,0.0902679246225982,0,0
Independent Poisson,Original,2021-22,H,0.0591323799126814,0,0
