Model,CalibrationMethod,EvaluationSeason,Outcome,PredictedProbability,ObservedIndicator,CalibrationBin
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.5147058823529411,1,5
Independent Poisson,Isotonic,2021-22,A,0.499867759851891,0,4
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.36154186973859104,0,3
Independent Poisson,Isotonic,2021-22,A,0.23337277227996325,1,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,0,4
Independent Poisson,Isotonic,2021-22,A,0.6215722120658135,0,6
Independent Poisson,Isotonic,2021-22,A,0.4200884396715098,1,4
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,1,7
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.5366269165247018,1,5
Independent Poisson,Isotonic,2021-22,A,0.6622998544395925,1,6
Independent Poisson,Isotonic,2021-22,A,0.5155229059765957,0,5
Independent Poisson,Isotonic,2021-22,A,0.37494256394547404,0,3
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,1,4
Independent Poisson,Isotonic,2021-22,A,0.499867759851891,0,4
Independent Poisson,Isotonic,2021-22,A,0.3609345627070093,1,3
Independent Poisson,Isotonic,2021-22,A,0.40722265158434623,0,4
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.4151498604538284,0,4
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.21622648689264848,0,2
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.4520163474321729,0,4
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.2181771921136674,1,2
Independent Poisson,Isotonic,2021-22,A,0.5259668508287293,0,5
Independent Poisson,Isotonic,2021-22,A,0.6215722120658135,1,6
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.22265624999999997,1,2
Independent Poisson,Isotonic,2021-22,A,0.5366269165247018,1,5
Independent Poisson,Isotonic,2021-22,A,0.43310208126858274,1,4
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,1,2
Independent Poisson,Isotonic,2021-22,A,0.36852088414044054,0,3
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.2859770089397332,0,2
Independent Poisson,Isotonic,2021-22,A,0.26685732443597077,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.36852088414044054,0,3
Independent Poisson,Isotonic,2021-22,A,0.23287671232876714,0,2
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,0,4
Independent Poisson,Isotonic,2021-22,A,0.48038205824515406,0,4
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.3609345627070093,0,3
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.5605785123966942,0,5
Independent Poisson,Isotonic,2021-22,A,0.3765492826401789,1,3
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,1,5
Independent Poisson,Isotonic,2021-22,A,0.5155229059765957,0,5
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,0,4
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,1,7
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.34739548614417676,0,3
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,1,4
Independent Poisson,Isotonic,2021-22,A,0.4504196456325769,0,4
Independent Poisson,Isotonic,2021-22,A,0.23287671232876714,0,2
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,1,2
Independent Poisson,Isotonic,2021-22,A,0.30293706293706296,1,3
Independent Poisson,Isotonic,2021-22,A,0.5912270379813035,1,5
Independent Poisson,Isotonic,2021-22,A,1.2319088319073144e-12,0,0
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,1,2
Independent Poisson,Isotonic,2021-22,A,0.4504196456325769,0,4
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.5163676111678775,1,5
Independent Poisson,Isotonic,2021-22,A,0.49825892189997073,0,4
Independent Poisson,Isotonic,2021-22,A,0.4694177204093708,0,4
Independent Poisson,Isotonic,2021-22,A,0.21615076800431826,0,2
Independent Poisson,Isotonic,2021-22,A,0.39597737272155875,1,3
Independent Poisson,Isotonic,2021-22,A,0.36154186973859104,0,3
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.4848284960422163,1,4
Independent Poisson,Isotonic,2021-22,A,0.446986232085533,1,4
Independent Poisson,Isotonic,2021-22,A,0.3776466504685873,0,3
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.5153073147931759,1,5
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.44133347440102344,0,4
Independent Poisson,Isotonic,2021-22,A,0.499867759851891,1,4
Independent Poisson,Isotonic,2021-22,A,0.4520163474321729,0,4
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.23287671232876714,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.4520163474321729,0,4
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.43429006822926824,1,4
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.5912270379813035,1,5
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.5802792321116929,1,5
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,1,7
Independent Poisson,Isotonic,2021-22,A,0.5155229059765957,1,5
Independent Poisson,Isotonic,2021-22,A,0.2755545825172632,0,2
Independent Poisson,Isotonic,2021-22,A,0.42925275864861984,0,4
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,1,7
Independent Poisson,Isotonic,2021-22,A,0.5240025115588789,0,5
Independent Poisson,Isotonic,2021-22,A,0.3052926137051328,0,3
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.34601978555175034,1,3
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.26028372781619535,1,2
Independent Poisson,Isotonic,2021-22,A,0.48038205824515406,0,4
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.5912270379813035,1,5
Independent Poisson,Isotonic,2021-22,A,0.3724027388720638,0,3
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,1,2
Independent Poisson,Isotonic,2021-22,A,0.5525076819602517,1,5
Independent Poisson,Isotonic,2021-22,A,0.29469219161294646,0,2
Independent Poisson,Isotonic,2021-22,A,0.3776466504685873,0,3
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,1,2
Independent Poisson,Isotonic,2021-22,A,0.5525076819602517,0,5
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.499867759851891,0,4
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,1,2
Independent Poisson,Isotonic,2021-22,A,0.584470258049427,1,5
Independent Poisson,Isotonic,2021-22,A,0.5831237342510469,0,5
Independent Poisson,Isotonic,2021-22,A,0.6418484798134564,1,6
Independent Poisson,Isotonic,2021-22,A,0.4694177204093708,1,4
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.4694177204093708,0,4
Independent Poisson,Isotonic,2021-22,A,0.3532135588997805,0,3
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,0,4
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.5627871362940275,0,5
Independent Poisson,Isotonic,2021-22,A,0.2159275168548915,1,2
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.5925738371580964,0,5
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,1,2
Independent Poisson,Isotonic,2021-22,A,0.5673979658215498,0,5
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.5802792321116929,0,5
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.3096836049856184,0,3
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.2849162011173184,0,2
Independent Poisson,Isotonic,2021-22,A,1.2319088319073144e-12,0,0
Independent Poisson,Isotonic,2021-22,A,0.6994777654692198,1,6
Independent Poisson,Isotonic,2021-22,A,0.48038205824515406,0,4
Independent Poisson,Isotonic,2021-22,A,0.48038205824515406,0,4
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.44133347440102344,0,4
Independent Poisson,Isotonic,2021-22,A,0.5802792321116929,0,5
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.7497828484523889,1,7
Independent Poisson,Isotonic,2021-22,A,0.5627871362940275,1,5
Independent Poisson,Isotonic,2021-22,A,0.4200884396715098,1,4
Independent Poisson,Isotonic,2021-22,A,0.30293706293706296,1,3
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,0,7
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.5155229059765957,1,5
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.5366269165247018,1,5
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.23287671232876714,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.23287671232876714,0,2
Independent Poisson,Isotonic,2021-22,A,0.31326877780685686,1,3
Independent Poisson,Isotonic,2021-22,A,1.2319088319073144e-12,0,0
Independent Poisson,Isotonic,2021-22,A,0.5314900673530378,1,5
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,1,4
Independent Poisson,Isotonic,2021-22,A,0.2170994943604246,0,2
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,0,5
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,1,7
Independent Poisson,Isotonic,2021-22,A,0.44133347440102344,0,4
Independent Poisson,Isotonic,2021-22,A,0.48162877454775815,0,4
Independent Poisson,Isotonic,2021-22,A,0.5301621047036938,1,5
Independent Poisson,Isotonic,2021-22,A,0.49775449101796404,0,4
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.5605785123966942,1,5
Independent Poisson,Isotonic,2021-22,A,0.7479949966889853,0,7
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.584470258049427,0,5
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2021-22,A,0.34739548614417676,0,3
Independent Poisson,Isotonic,2021-22,A,0.2171147880041365,0,2
Independent Poisson,Isotonic,2021-22,A,0.5525076819602517,0,5
Independent Poisson,Isotonic,2021-22,A,0.43310208126858274,0,4
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,1,2
Independent Poisson,Isotonic,2021-22,A,0.4298802834107012,0,4
Independent Poisson,Isotonic,2021-22,A,0.4621408473274018,1,4
Independent Poisson,Isotonic,2021-22,A,1.2319088319073144e-12,0,0
Independent Poisson,Isotonic,2021-22,A,0.4718423169750603,0,4
Independent Poisson,Isotonic,2021-22,A,0.2988102665605301,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.21792273658075947,0,2
Independent Poisson,Isotonic,2021-22,A,0.7401861793823573,1,7
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,1,5
Independent Poisson,Isotonic,2022-23,A,0.7863247863247863,0,7
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.34321833768695437,0,3
Independent Poisson,Isotonic,2022-23,A,0.34321833768695437,1,3
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,1,7
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.41306637670134777,0,4
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.47823974293015165,0,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.4205834402858233,0,4
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.7565789473684211,1,7
Independent Poisson,Isotonic,2022-23,A,0.4352656922423925,0,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.6052993889036496,0,6
Independent Poisson,Isotonic,2022-23,A,0.34321833768695437,1,3
Independent Poisson,Isotonic,2022-23,A,0.2171539488050467,0,2
Independent Poisson,Isotonic,2022-23,A,0.5287842426080133,0,5
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,0,7
Independent Poisson,Isotonic,2022-23,A,0.4205834402858233,1,4
Independent Poisson,Isotonic,2022-23,A,0.6052993889036496,0,6
Independent Poisson,Isotonic,2022-23,A,0.1827446486309499,0,1
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.4004316710212427,0,4
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.5134289439374186,1,5
Independent Poisson,Isotonic,2022-23,A,0.379366164210601,1,3
Independent Poisson,Isotonic,2022-23,A,0.6023437965527543,1,6
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,0,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.5502113978165374,0,5
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.5310160410686536,0,5
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.2171539488050467,0,2
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.5959405781461667,0,5
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.8676996424304712,0,8
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.8235294117638097,0,8
Independent Poisson,Isotonic,2022-23,A,0.3047813240245997,0,3
Independent Poisson,Isotonic,2022-23,A,0.23104800675172515,1,2
Independent Poisson,Isotonic,2022-23,A,0.17537826871666823,0,1
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,0,4
Independent Poisson,Isotonic,2022-23,A,0.379366164210601,0,3
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.18254063418216035,0,1
Independent Poisson,Isotonic,2022-23,A,0.8676996424304712,1,8
Independent Poisson,Isotonic,2022-23,A,0.468804920913884,1,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.41306637670134777,0,4
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,0,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.3318575264707833,0,3
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,1,4
Independent Poisson,Isotonic,2022-23,A,0.18254063418216035,0,1
Independent Poisson,Isotonic,2022-23,A,0.0924170616113744,0,0
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,0,5
Independent Poisson,Isotonic,2022-23,A,0.4004316710212427,0,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.30281753930502187,0,3
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.46991014744017384,0,4
Independent Poisson,Isotonic,2022-23,A,0.19299068398180125,0,1
Independent Poisson,Isotonic,2022-23,A,0.26648148289466655,0,2
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,1,7
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,1,7
Independent Poisson,Isotonic,2022-23,A,0.5502113978165374,0,5
Independent Poisson,Isotonic,2022-23,A,0.3438915289548151,0,3
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,0,5
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,0,4
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,0,7
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.19299068398180125,0,1
Independent Poisson,Isotonic,2022-23,A,0.41306637670134777,0,4
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.434724023044519,0,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,0,7
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.28192675633013836,1,2
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,0,7
Independent Poisson,Isotonic,2022-23,A,0.34321833768695437,1,3
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,1,7
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.29412304379107373,0,2
Independent Poisson,Isotonic,2022-23,A,0.48171614512406646,0,4
Independent Poisson,Isotonic,2022-23,A,0.7863247863247863,1,7
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,1,1
Independent Poisson,Isotonic,2022-23,A,0.23104800675172515,0,2
Independent Poisson,Isotonic,2022-23,A,0.1755665791265441,0,1
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.32460455884021644,0,3
Independent Poisson,Isotonic,2022-23,A,0.0924170616113744,0,0
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,1,5
Independent Poisson,Isotonic,2022-23,A,0.5452598918901449,0,5
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.5990678409361639,1,5
Independent Poisson,Isotonic,2022-23,A,0.41306637670134777,1,4
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,1,3
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.1893687707641196,1,1
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.19299068398180125,0,1
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.7565789473684211,1,7
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,1,2
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,1,5
Independent Poisson,Isotonic,2022-23,A,0.18254063418216035,0,1
Independent Poisson,Isotonic,2022-23,A,0.738931876196554,1,7
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.2821303964016983,1,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.49663784822286267,1,4
Independent Poisson,Isotonic,2022-23,A,0.23104800675172515,0,2
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.7557347494017767,1,7
Independent Poisson,Isotonic,2022-23,A,0.19320361742943273,0,1
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,1,4
Independent Poisson,Isotonic,2022-23,A,0.5959405781461667,1,5
Independent Poisson,Isotonic,2022-23,A,0.2765654596774371,0,2
Independent Poisson,Isotonic,2022-23,A,0.0924170616113744,0,0
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.5452598918901449,1,5
Independent Poisson,Isotonic,2022-23,A,0.6876401813409687,0,6
Independent Poisson,Isotonic,2022-23,A,0.2171539488050467,1,2
Independent Poisson,Isotonic,2022-23,A,0.5959405781461667,0,5
Independent Poisson,Isotonic,2022-23,A,0.3047813240245997,0,3
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.2629316212982137,0,2
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,1,5
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,0,3
Independent Poisson,Isotonic,2022-23,A,0.3188545815401314,1,3
Independent Poisson,Isotonic,2022-23,A,0.6876401813409687,1,6
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,0,5
Independent Poisson,Isotonic,2022-23,A,0.35021262702526224,0,3
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.254557463672391,1,2
Independent Poisson,Isotonic,2022-23,A,0.5221904178364686,0,5
Independent Poisson,Isotonic,2022-23,A,0.4985023701112803,0,4
Independent Poisson,Isotonic,2022-23,A,0.379366164210601,0,3
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.1962862782367132,0,1
Independent Poisson,Isotonic,2022-23,A,0.434724023044519,1,4
Independent Poisson,Isotonic,2022-23,A,0.5452598918901449,0,5
Independent Poisson,Isotonic,2022-23,A,0.1821914258044276,0,1
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,0,4
Independent Poisson,Isotonic,2022-23,A,0.28364989690030346,0,2
Independent Poisson,Isotonic,2022-23,A,0.45396528250510554,1,4
Independent Poisson,Isotonic,2022-23,A,0.27648173478735555,0,2
Independent Poisson,Isotonic,2022-23,A,0.3047813240245997,0,3
Independent Poisson,Isotonic,2022-23,A,0.379366164210601,0,3
