Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Direct Probability Ensemble,Sigmoid,A,0,22,0.08545388304559969,0.045454545454545456,-0.03999933759105423,0.03999933759105423,0.0,0.1
Direct Probability Ensemble,Sigmoid,A,1,208,0.1553746782637047,0.10576923076923077,-0.049605447494473945,0.049605447494473945,0.1,0.2
Direct Probability Ensemble,Sigmoid,A,2,297,0.25221871911995297,0.19528619528619529,-0.05693252383375769,0.05693252383375769,0.2,0.3
Direct Probability Ensemble,Sigmoid,A,3,324,0.3493800344601805,0.2623456790123457,-0.08703435544783483,0.08703435544783483,0.3,0.4
Direct Probability Ensemble,Sigmoid,A,4,306,0.4513345742632402,0.39215686274509803,-0.05917771151814216,0.05917771151814216,0.4,0.5
Direct Probability Ensemble,Sigmoid,A,5,231,0.549372514427671,0.5021645021645021,-0.04720801226316884,0.04720801226316884,0.5,0.6
Direct Probability Ensemble,Sigmoid,A,6,113,0.6438426121672693,0.6637168141592921,0.019874201992022722,0.019874201992022722,0.6,0.7
Direct Probability Ensemble,Sigmoid,A,7,19,0.7207680982829826,0.8421052631578947,0.12133716487491208,0.12133716487491208,0.7,0.8
Direct Probability Ensemble,Sigmoid,D,1,252,0.1776084825730532,0.19444444444444445,0.016835961871391247,0.016835961871391247,0.1,0.2
Direct Probability Ensemble,Sigmoid,D,2,1268,0.2326226984410558,0.23738170347003154,0.004759005028975749,0.004759005028975749,0.2,0.3
Direct Probability Ensemble,Sigmoid,H,0,27,0.08690901484584798,0.037037037037037035,-0.04987197780881095,0.04987197780881095,0.0,0.1
Direct Probability Ensemble,Sigmoid,H,1,174,0.16028593545614353,0.14367816091954022,-0.01660777453660331,0.01660777453660331,0.1,0.2
Direct Probability Ensemble,Sigmoid,H,2,286,0.2529909847735476,0.2762237762237762,0.023232791450228607,0.023232791450228607,0.2,0.3
Direct Probability Ensemble,Sigmoid,H,3,309,0.34858444890323304,0.4336569579288026,0.08507250902556956,0.08507250902556956,0.3,0.4
Direct Probability Ensemble,Sigmoid,H,4,276,0.4484062860903208,0.4963768115942029,0.04797052550388209,0.04797052550388209,0.4,0.5
Direct Probability Ensemble,Sigmoid,H,5,223,0.548427536828461,0.6233183856502242,0.07489084882176322,0.07489084882176322,0.5,0.6
