Model,CalibrationMethod,MacroExpectedCalibrationError,MacroMaximumCalibrationError,WorstOutcomeExpectedCalibrationError,MeanSignedCalibrationError
Direct Probability Ensemble,Isotonic,0.04043056619798747,0.13048175112420324,0.057252458193784765,-1.1564823173178714e-17
Direct Probability Ensemble,Original,0.02286201622660752,0.11241146772300815,0.03158561236525573,1.1564823173178714e-17
Direct Probability Ensemble,Sigmoid,0.039278831568916074,0.11251068006267144,0.059125414976739274,-9.25185853854297e-18
Independent Poisson,Isotonic,0.04006740522489645,0.29177169716610685,0.05639674772607715,-9.25185853854297e-18
Independent Poisson,Original,0.01540649438532538,0.16114471836668645,0.023485478923520063,2.3707887505016363e-17
Independent Poisson,Sigmoid,0.04007470971555992,0.19061940505430033,0.060814854788128765,-4.625929269271485e-18
Tuned Random Forest,Isotonic,0.040160843304756354,0.39887414964083945,0.057279323122357166,1.1564823173178714e-17
Tuned Random Forest,Original,0.019853230649448772,0.5986766117080791,0.029341495921517746,-1.61907524424502e-17
Tuned Random Forest,Sigmoid,0.036940604034911555,0.0953175508398572,0.0547029772434164,4.625929269271485e-18
