Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-10-18,Leicester,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.6465564424760097,0.1580220519950583,0.1954215055289319
2020-21,2020-10-18,Sheffield United,Fulham,1,2020-21,Tuned Logistic Regression,D,H,0.534017646893224,0.2691231743338879,0.1968591787728881
2020-21,2020-10-18,Tottenham,West Ham,1,2020-21,Tuned Logistic Regression,D,H,0.5349009487062881,0.2713113590197146,0.1937876922739972
2020-21,2020-10-19,Leeds,Wolves,1,2020-21,Tuned Logistic Regression,A,A,0.3498591418901572,0.2742977090549264,0.3758431490549163
2020-21,2020-10-19,West Brom,Burnley,1,2020-21,Tuned Logistic Regression,D,A,0.3800785062451919,0.1865752787632669,0.433346214991541
2020-21,2020-10-23,Aston Villa,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.3617056457149089,0.3563242581152233,0.2819700961698678
2020-21,2020-10-24,Fulham,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,A,0.3205967292292068,0.2583997724561841,0.4210034983146091
2020-21,2020-10-24,Liverpool,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.8630141974258733,0.0960649917087231,0.0409208108654036
2020-21,2020-10-24,Man United,Chelsea,1,2020-21,Tuned Logistic Regression,D,H,0.3660594675282756,0.3414896171266968,0.2924509153450275
2020-21,2020-10-24,West Ham,Man City,1,2020-21,Tuned Logistic Regression,D,A,0.2181492119642547,0.13746119311327,0.644389594922475
2020-21,2020-10-25,Arsenal,Leicester,1,2020-21,Tuned Logistic Regression,A,H,0.4441649852616461,0.2631197993925521,0.2927152153458017
2020-21,2020-10-25,Southampton,Everton,1,2020-21,Tuned Logistic Regression,H,A,0.280642102593191,0.2446695904726402,0.4746883069341686
2020-21,2020-10-25,Wolves,Newcastle,1,2020-21,Tuned Logistic Regression,D,H,0.4482368922600735,0.3183359079158963,0.2334271998240301
2020-21,2020-10-26,Brighton,West Brom,1,2020-21,Tuned Logistic Regression,D,H,0.5654302675941627,0.2159687853389902,0.218600947066847
2020-21,2020-10-26,Burnley,Tottenham,1,2020-21,Tuned Logistic Regression,A,D,0.2039757686308859,0.4014380829562035,0.3945861484129105
2020-21,2020-10-30,Wolves,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,H,0.4912616663810507,0.2726895532749432,0.2360487803440061
2020-21,2020-10-31,Burnley,Chelsea,1,2020-21,Tuned Logistic Regression,A,A,0.2642455943685252,0.3439888068413728,0.391765598790102
2020-21,2020-10-31,Liverpool,West Ham,1,2020-21,Tuned Logistic Regression,H,H,0.7170466017280696,0.200158096375945,0.0827953018959853
2020-21,2020-10-31,Sheffield United,Man City,1,2020-21,Tuned Logistic Regression,A,A,0.276618011940194,0.1350839168173416,0.5882980712424642
2020-21,2020-11-01,Aston Villa,Southampton,1,2020-21,Tuned Logistic Regression,A,D,0.2428378317750729,0.409011451572364,0.348150716652563
2020-21,2020-11-01,Man United,Arsenal,1,2020-21,Tuned Logistic Regression,A,H,0.4848198852045556,0.2638869782494946,0.2512931365459497
2020-21,2020-11-01,Newcastle,Everton,1,2020-21,Tuned Logistic Regression,H,A,0.2769952818234881,0.2241848168611664,0.4988199013153453
2020-21,2020-11-01,Tottenham,Brighton,1,2020-21,Tuned Logistic Regression,H,H,0.546225701209643,0.2997609613755785,0.1540133374147785
2020-21,2020-11-02,Fulham,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.4483357595063308,0.264594781080835,0.2870694594128342
2020-21,2020-11-02,Leeds,Leicester,1,2020-21,Tuned Logistic Regression,A,A,0.3502940962161501,0.2855455042003193,0.3641603995835306
2020-21,2020-11-06,Brighton,Burnley,1,2020-21,Tuned Logistic Regression,D,H,0.5836328388969113,0.1309085342220217,0.2854586268810669
2020-21,2020-11-06,Southampton,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.4123804120082003,0.3353934876485953,0.2522261003432043
2020-21,2020-11-07,Chelsea,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.6864638648454976,0.1932716089656588,0.1202645261888435
2020-21,2020-11-07,Crystal Palace,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.3962372990607279,0.2237148200864045,0.3800478808528676
2020-21,2020-11-07,Everton,Man United,1,2020-21,Tuned Logistic Regression,A,H,0.4962486936405791,0.1934198307241892,0.3103314756352316
2020-21,2020-11-07,West Ham,Fulham,1,2020-21,Tuned Logistic Regression,H,H,0.5206971593447809,0.2971772436985385,0.1821255969566806
2020-21,2020-11-08,Arsenal,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.5490940486397108,0.2200253974084435,0.2308805539518456
2020-21,2020-11-08,Leicester,Wolves,1,2020-21,Tuned Logistic Regression,H,H,0.4921101642378985,0.2683551071214596,0.2395347286406418
2020-21,2020-11-08,Man City,Liverpool,1,2020-21,Tuned Logistic Regression,D,H,0.4572074960019882,0.2190965931147714,0.3236959108832402
2020-21,2020-11-08,West Brom,Tottenham,1,2020-21,Tuned Logistic Regression,A,A,0.1649559057984734,0.2102531505447701,0.6247909436567562
2020-21,2020-11-21,Aston Villa,Brighton,1,2020-21,Tuned Logistic Regression,A,D,0.3380687360762898,0.4405687803054558,0.2213624836182543
2020-21,2020-11-21,Man United,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.6617747192180439,0.2474424031859908,0.0907828775959653
2020-21,2020-11-21,Newcastle,Chelsea,1,2020-21,Tuned Logistic Regression,A,A,0.2058621677379052,0.2472499922211331,0.5468878400409616
2020-21,2020-11-21,Tottenham,Man City,1,2020-21,Tuned Logistic Regression,H,H,0.5002910569993255,0.1667869451226532,0.3329219978780213
2020-21,2020-11-22,Fulham,Everton,1,2020-21,Tuned Logistic Regression,A,A,0.2640766806114613,0.2311159752549882,0.5048073441335504
