Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-10-18,Tottenham,West Ham,1,2020-21,Independent Poisson,D,H,0.5924667791418168,0.2239778107270059,0.1835554101311773
2020-21,2020-10-19,Leeds,Wolves,1,2020-21,Independent Poisson,A,A,0.3577556435263378,0.2722389419185668,0.3700054145550951
2020-21,2020-10-19,West Brom,Burnley,1,2020-21,Independent Poisson,D,A,0.3458713906774818,0.270613718277602,0.3835148910449162
2020-21,2020-10-23,Aston Villa,Leeds,1,2020-21,Independent Poisson,A,H,0.4373911156463654,0.287554634357375,0.2750542499962595
2020-21,2020-10-24,Fulham,Crystal Palace,1,2020-21,Independent Poisson,A,A,0.33618544095404,0.2667243103374916,0.3970902487084685
2020-21,2020-10-24,Liverpool,Sheffield United,1,2020-21,Independent Poisson,H,H,0.9072584302591342,0.0695863987985484,0.0231551709423174
2020-21,2020-10-24,Man United,Chelsea,1,2020-21,Independent Poisson,D,A,0.3480873052079384,0.2696160445514222,0.3822966502406393
2020-21,2020-10-24,West Ham,Man City,1,2020-21,Independent Poisson,D,A,0.2229705677512978,0.2203520973928054,0.5566773348558967
2020-21,2020-10-25,Arsenal,Leicester,1,2020-21,Independent Poisson,A,H,0.4644356726643108,0.2649814185955984,0.2705829087400907
2020-21,2020-10-25,Southampton,Everton,1,2020-21,Independent Poisson,H,A,0.2875080014299879,0.2436598014467839,0.4688321971232281
2020-21,2020-10-25,Wolves,Newcastle,1,2020-21,Independent Poisson,D,H,0.5323540289619737,0.2470000845350703,0.2206458865029561
2020-21,2020-10-26,Brighton,West Brom,1,2020-21,Independent Poisson,D,H,0.5402302333491457,0.2488837197791246,0.2108860468717296
2020-21,2020-10-26,Burnley,Tottenham,1,2020-21,Independent Poisson,A,A,0.1713347120918868,0.2097138070947236,0.6189514808133894
2020-21,2020-10-30,Wolves,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.5403714367740127,0.2487205562712952,0.2109080069546921
2020-21,2020-10-31,Burnley,Chelsea,1,2020-21,Independent Poisson,A,A,0.3103267411229878,0.2720562961747325,0.4176169627022796
2020-21,2020-10-31,Liverpool,West Ham,1,2020-21,Independent Poisson,H,H,0.8155882269351543,0.1239964261249855,0.0604153469398602
2020-21,2020-10-31,Sheffield United,Man City,1,2020-21,Independent Poisson,A,A,0.2348184032955592,0.2190818246044632,0.5460997720999776
2020-21,2020-11-01,Aston Villa,Southampton,1,2020-21,Independent Poisson,A,A,0.3462340833944322,0.2874598466556868,0.3663060699498809
2020-21,2020-11-01,Man United,Arsenal,1,2020-21,Independent Poisson,A,H,0.5249033736287986,0.2378361829489905,0.2372604434222108
2020-21,2020-11-01,Newcastle,Everton,1,2020-21,Independent Poisson,H,A,0.2565890983340109,0.2448141991200914,0.4985967025458978
2020-21,2020-11-01,Tottenham,Brighton,1,2020-21,Independent Poisson,H,H,0.6366373609900707,0.2200214185927211,0.1433412204172081
2020-21,2020-11-02,Fulham,West Brom,1,2020-21,Independent Poisson,H,H,0.4373712789782185,0.2773837186851468,0.2852450023366346
2020-21,2020-11-02,Leeds,Leicester,1,2020-21,Independent Poisson,A,H,0.3821852838515205,0.2566429302379352,0.3611717859105442
2020-21,2020-11-06,Brighton,Burnley,1,2020-21,Independent Poisson,D,H,0.5173110164469166,0.2451123651903757,0.2375766183627077
2020-21,2020-11-06,Southampton,Newcastle,1,2020-21,Independent Poisson,H,H,0.5098210809176229,0.2429679000081289,0.2472110190742482
2020-21,2020-11-07,Chelsea,Sheffield United,1,2020-21,Independent Poisson,H,H,0.7009571610744431,0.1943609107875624,0.1046819281379947
2020-21,2020-11-07,Crystal Palace,Leeds,1,2020-21,Independent Poisson,H,H,0.3901237229700728,0.2511103101137882,0.3587659669161388
2020-21,2020-11-07,Everton,Man United,1,2020-21,Independent Poisson,A,H,0.4977025322774154,0.2393161598407676,0.262981307881817
2020-21,2020-11-07,West Ham,Fulham,1,2020-21,Independent Poisson,H,H,0.5636994946613922,0.2417469119813208,0.1945535933572867
2020-21,2020-11-08,Arsenal,Aston Villa,1,2020-21,Independent Poisson,A,H,0.5193630356744315,0.2553118974076181,0.2253250669179504
2020-21,2020-11-08,Leicester,Wolves,1,2020-21,Independent Poisson,H,H,0.5784091903923438,0.2290438967051925,0.1925469129024635
2020-21,2020-11-08,Man City,Liverpool,1,2020-21,Independent Poisson,D,H,0.4470560744270432,0.2394544590126785,0.3134894665602781
2020-21,2020-11-08,West Brom,Tottenham,1,2020-21,Independent Poisson,A,A,0.1762795931188221,0.215206429011202,0.6085139778699761
2020-21,2020-11-21,Aston Villa,Brighton,1,2020-21,Independent Poisson,A,H,0.4608509621126839,0.2696376741675989,0.2695113637197172
2020-21,2020-11-21,Man United,West Brom,1,2020-21,Independent Poisson,H,H,0.7384821064646164,0.1720838504092666,0.0894340431261167
2020-21,2020-11-21,Newcastle,Chelsea,1,2020-21,Independent Poisson,A,A,0.2260604722541143,0.2306613688349431,0.5432781589109427
2020-21,2020-11-21,Tottenham,Man City,1,2020-21,Independent Poisson,H,H,0.549992848327716,0.2221444438357064,0.2278627078365774
2020-21,2020-11-22,Fulham,Everton,1,2020-21,Independent Poisson,A,A,0.2226251445500988,0.2415980238949707,0.5357768315549304
