OverallRank,Model,CalibrationMethod,Fixtures,LogLoss,BrierScore,Accuracy,MeanMaximumProbability,OriginalLogLoss,OriginalBrierScore,LogLossChange,LogLossImprovementPercent,BrierScoreChange,ImprovedLogLoss
1,Independent Poisson,Original,1520,0.964879412914884,0.5738997623230238,0.5460526315789473,0.5565700974613739,0.964879412914884,0.5738997623230238,0.0,0.0,0.0,False
2,Direct Probability Ensemble,Original,1520,0.9689015422843559,0.5755920257072487,0.5480263157894737,0.5546697023820991,0.9689015422843559,0.5755920257072487,0.0,0.0,0.0,False
3,Tuned Random Forest,Original,1520,0.9710971406886705,0.5763999813118129,0.5480263157894737,0.5567857850659638,0.9710971406886705,0.5763999813118129,0.0,0.0,0.0,False
4,Independent Poisson,Sigmoid,1520,0.9791519268981478,0.5829278703321206,0.5269736842105263,0.5206928010194192,0.964879412914884,0.5738997623230238,0.01427251398326379,-1.4792018351958378,0.009028108009096814,False
5,Direct Probability Ensemble,Sigmoid,1520,0.9816743801450871,0.5841102209097561,0.5368421052631579,0.5241781602425941,0.9689015422843559,0.5755920257072487,0.012772837860731245,-1.3182802692848472,0.008518195202507406,False
6,Tuned Random Forest,Sigmoid,1520,0.9838877965226533,0.5850526932297658,0.5355263157894737,0.5283764065686674,0.9710971406886705,0.5763999813118129,0.012790655833982867,-1.3171345376336039,0.008652711917952915,False
7,Independent Poisson,Isotonic,1520,0.9881186501781423,0.5880176487290405,0.5269736842105263,0.5485108751888848,0.964879412914884,0.5738997623230238,0.023239237263258272,-2.4085120847436197,0.014117886406016744,False
8,Direct Probability Ensemble,Isotonic,1520,1.0225418860990614,0.5885073205837511,0.5407894736842105,0.5513136294647258,0.9689015422843559,0.5755920257072487,0.053640343814705504,-5.536201716455003,0.012915294876502448,False
9,Tuned Random Forest,Isotonic,1520,1.0484256088381756,0.5862277678726688,0.5361842105263158,0.5517340889010224,0.9710971406886705,0.5763999813118129,0.07732846814950511,-7.9630002920888305,0.009827786560855922,False
