Model,CalibrationMethod,MacroExpectedCalibrationError,MacroMaximumCalibrationError,WorstOutcomeExpectedCalibrationError,MeanSignedCalibrationError,LogLoss,BrierScore,Accuracy,MeanMaximumProbability,LogLossChange
Direct Probability Ensemble,Original,0.02286201622660752,0.11241146772300815,0.03158561236525573,1.1564823173178714e-17,0.9689015422843559,0.5755920257072487,0.5480263157894737,0.5546697023820991,0.0
Direct Probability Ensemble,Sigmoid,0.039278831568916074,0.11251068006267144,0.059125414976739274,-9.25185853854297e-18,0.9816743801450871,0.5841102209097561,0.5368421052631579,0.5241781602425941,0.012772837860731245
Direct Probability Ensemble,Isotonic,0.04043056619798747,0.13048175112420324,0.057252458193784765,-1.1564823173178714e-17,1.0225418860990614,0.5885073205837511,0.5407894736842105,0.5513136294647258,0.053640343814705504
Independent Poisson,Original,0.01540649438532538,0.16114471836668645,0.023485478923520063,2.3707887505016363e-17,0.964879412914884,0.5738997623230238,0.5460526315789473,0.5565700974613739,0.0
Independent Poisson,Isotonic,0.04006740522489645,0.29177169716610685,0.05639674772607715,-9.25185853854297e-18,0.9881186501781423,0.5880176487290405,0.5269736842105263,0.5485108751888848,0.023239237263258272
Independent Poisson,Sigmoid,0.04007470971555992,0.19061940505430033,0.060814854788128765,-4.625929269271485e-18,0.9791519268981478,0.5829278703321206,0.5269736842105263,0.5206928010194192,0.01427251398326379
Tuned Random Forest,Original,0.019853230649448772,0.5986766117080791,0.029341495921517746,-1.61907524424502e-17,0.9710971406886705,0.5763999813118129,0.5480263157894737,0.5567857850659638,0.0
Tuned Random Forest,Sigmoid,0.036940604034911555,0.0953175508398572,0.0547029772434164,4.625929269271485e-18,0.9838877965226533,0.5850526932297658,0.5355263157894737,0.5283764065686674,0.012790655833982867
Tuned Random Forest,Isotonic,0.040160843304756354,0.39887414964083945,0.057279323122357166,1.1564823173178714e-17,1.0484256088381756,0.5862277678726688,0.5361842105263158,0.5517340889010224,0.07732846814950511
